TXNAME,GENEID
DN_NonamEVm000391t1,DN_NonamEVm000391
DN_NonamEVm000391t4,DN_NonamEVm000391
DN_NonamEVm000422t1,DN_NonamEVm000422
DN_NonamEVm000434t4,DN_NonamEVm000434
DN_NonamEVm000434t5,DN_NonamEVm000434
DN_NonamEVm000434t6,DN_NonamEVm000434
DN_NonamEVm000460t1,DN_NonamEVm000460
DN_NonamEVm000460t2,DN_NonamEVm000460
DN_NonamEVm000460t6,DN_NonamEVm000460
DN_NonamEVm000559t1,DN_NonamEVm000559
DN_NonamEVm000559t2,DN_NonamEVm000559
DN_NonamEVm000559t3,DN_NonamEVm000559
DN_NonamEVm000559t4,DN_NonamEVm000559
DN_NonamEVm000562t1,DN_NonamEVm000562
DN_NonamEVm000562t3,DN_NonamEVm000562
DN_NonamEVm000562t4,DN_NonamEVm000562
DN_NonamEVm000562t6,DN_NonamEVm000562
DN_NonamEVm000562t8,DN_NonamEVm000562
DN_NonamEVm000562t9,DN_NonamEVm000562
DN_NonamEVm000563t1,DN_NonamEVm000563
DN_NonamEVm000563t2,DN_NonamEVm000563
DN_NonamEVm000563t4,DN_NonamEVm000563
DN_NonamEVm000563t6,DN_NonamEVm000563
DN_NonamEVm000563t7,DN_NonamEVm000563
DN_NonamEVm000563t8,DN_NonamEVm000563
DN_NonamEVm000563t9,DN_NonamEVm000563
DN_NonamEVm000569t1,DN_NonamEVm000569
DN_NonamEVm000569t3,DN_NonamEVm000569
DN_NonamEVm000569t4,DN_NonamEVm000569
DN_NonamEVm000569t6,DN_NonamEVm000569
DN_NonamEVm000569t8,DN_NonamEVm000569
DN_NonamEVm000569t9,DN_NonamEVm000569
DN_NonamEVm000604t1,DN_NonamEVm000604
DN_NonamEVm000604t6,DN_NonamEVm000604
DN_NonamEVm000604t7,DN_NonamEVm000604
DN_NonamEVm000604t9,DN_NonamEVm000604
DN_NonamEVm000654t1,DN_NonamEVm000654
DN_NonamEVm000654t3,DN_NonamEVm000654
DN_NonamEVm000654t4,DN_NonamEVm000654
DN_NonamEVm000654t5,DN_NonamEVm000654
DN_NonamEVm000654t7,DN_NonamEVm000654
