UniqueCount	AmbigCount
3316	1025
0	0
416	9
203	485
4	61
68	0
7	154
0	10732
5	0
22	1869
0	0
437	2746
295	912
525	352
1451	0
135	0
46	256
247	657
0	0
6737	2
0	0
578	9
0	0
0	2613
3035	0
4216	3641
1983	1653
9	1097
147	2967
0	0
6015	2
79	163
27	1148
0	0
2	0
19	7
5028	1
0	0
2329	0
4	0
1190	322
1418	9730
2	0
0	0
0	0
2023	1
2490	876
10	5
132	0
681	1195
4	0
2	97
164	5031
3	0
0	0
4182	18
1	4
4177	1
0	6854
393	619
19	37
3	0
0	26797
0	0
122	0
0	0
0	1589
639	0
32	20
17	241
2618	2630
0	1892
251	0
0	781
1557	0
0	0
176	937
142	0
0	0
119	1643
83	1236
0	0
141	6452
57	1959
26	4774
1281	9880
973	1
120	10947
69	0
0	0
3353	1
1700	0
0	0
107	5635
1791	2769
636	471
0	0
9	4919
0	0
36	0
60	0
14	1536
12	0
134	2121
1114	1744
541	9305
0	0
0	0
332	2263
1	0
0	6082
0	0
0	10
66	532
22	97
39	169
1299	0
628	0
3816	0
560	2193
112	918
122	1078
478	8489
0	0
156	194
230	351
0	2552
8	5478
1	1973
1852	877
600	4567
129	333
8146	1
3209	3
336	4617
2916	1632
175	5010
6	0
60	260
26	2186
23	1844
0	1
17	2
1705	1562
97	458
776	0
0	1
335	4220
1077	0
433	0
1856	0
55	434
11	754
579	636
218	1240
0	28
0	10
337	5092
0	0
0	0
0	0
6	230
4	110
9	115
5	2
7	2696
38	238
38	233
325	0
121	418
524	1420
0	0
968	0
2079	0
91	89
103	264
13	0
4	3
0	3678
0	218
10	31
8	20
0	726
0	2
1450	7903
665	215
346	0
0	1589
779	0
65	723
175	0
4396	1
0	0
6	787
35	2231
59	1167
1290	1485
83	0
204	1306
432	0
319	1297
295	0
574	2476
1159	3800
3079	1
16886	5
361	2196
25	5744
1747	434
379	8424
831	1
36	0
904	1705
28	17
22	0
0	2095
74	1
0	2684
2484	1212
9	1
0	2203
76	492
22	1561
38	1080
1115	12613
13	0
92	519
5	272
373	3118
2735	0
2	0
39	1752
258	6689
2268	0
172	2756
22	2203
1	0
37	0
7	121
0	3825
0	4058
0	0
974	0
1215	0
0	22
404	628
2	1089
0	0
20	0
1	719
1301	1
101	42
8647	3077
0	0
132	0
957	1
65	2817
3764	14781
0	753
615	1319
2	0
0	0
5	0
0	837
2	3091
19	26
24	2
63	543
152	19
6118	30
71	12
685	0
3203	0
0	0
66	415
0	0
184	1609
11	4
1216	2480
18	0
115	29
97	324
103	4734
56	8
25	2234
204	0
0	130
2	0
1006	1099
9	1734
31	5770
63	4056
0	0
14	41
0	1
183	2449
6	1713
0	0
722	1179
158	906
0	1512
2684	1
406	636
0	26766
13487	524925
0	4069
2563	1982
537	8909
206	0
1	0
129	313
39	910
299	99
2627	541
2568	25428
426	2657
0	0
13	3
2103	1
757	5193
14	111
801	0
42	838
652	2374
54	0
68	133
317	8
82	298
175	8
654	12362
187	1829
269	0
33	1983
0	0
152	566
1598	0
836	0
160	793
0	0
2	2141
67	0
1822	1725
1	0
2	0
203	4326
254	0
19	36
1364	6369
622	0
0	1
6503	2
15	1992
1078	3076
6795	3792
4	206
13133	12
655	9
20	0
0	0
0	0
0	0
45	45
1	1
0	0
4314	2
0	11
13679	2
3833	5
48	3
8	0
17	1903
3391	0
183	682
13	3752
52	28
3	3
78	740
1	32
21	75
0	0
159	9
862	0
586	0
1	0
62	2294
145	687
178	0
12	1335
87	781
450	2
1086	954
87	2532
1947	0
0	1013
3908	0
0	0
5	0
1370	755
107	467
1874	0
6	785
4266	2
92	409
0	1249
2480	1
