UniqueCount	AmbigCount
262	101
5	2
66	1
0	0
0	0
5	0
10	69
0	1249
0	0
0	31
0	0
21	112
21	69
42	17
89	1
0	0
0	0
14	49
8	0
272	2
0	47
23	0
4	0
0	245
330	3
41	61
146	244
0	54
3	280
0	16
382	8
1	14
0	14
0	0
0	0
1	0
925	12
0	0
136	3
0	0
8	0
44	397
64	0
7	37
0	0
123	0
173	55
1	0
2	0
18	58
0	0
0	7
9	46
23	0
1	0
114	0
0	0
206	1
0	316
41	38
1	5
0	0
0	0
0	63
24	0
2	9
0	34
30	0
16	7
0	22
27	28
0	77
3	0
4	88
85	1
7	0
6	25
7	0
0	0
30	186
2	60
0	0
19	292
17	176
0	61
16	120
89	0
1	533
6	0
5	0
267	1
113	0
0	1
0	159
111	177
6	11
0	0
1	400
0	10
0	0
1	0
0	82
0	0
2	133
2	5
33	594
5	8
4	0
36	189
157	1
0	457
4	0
0	2
0	1
1	6
10	11
126	0
28	0
39	2
0	0
1	62
6	51
24	432
136	9
12	22
6	24
0	991
2	415
2	19
97	49
14	153
7	11
300	1
278	2
4	98
141	37
0	279
3	0
0	1
0	9
1	83
3	31
2	0
94	86
2	3
6	11
2	7
46	233
35	0
5	0
104	1
0	0
0	11
36	30
2	42
0	0
0	5
10	218
0	0
1	1
0	0
0	19
0	9
0	7
0	0
1	83
5	30
2	30
7	0
1	9
34	71
0	0
101	1
101	2
34	42
0	6
0	0
0	0
0	225
0	13
0	5
0	5
0	59
0	1
56	581
2	0
1	0
0	43
53	0
1	15
17	1
380	4
8	0
0	31
0	91
6	57
39	115
4	0
9	72
70	5
29	62
4	0
24	148
21	69
129	0
1077	11
30	81
0	368
99	66
10	197
47	0
1	0
43	98
0	0
4	0
0	79
5	0
0	213
130	65
10	0
0	53
1	21
1	32
6	112
149	1311
18	0
0	6
2	17
16	170
17	1
9	0
7	70
1	152
76	0
12	281
1	165
0	0
1	0
0	0
0	174
0	305
7	3
0	0
101	1
0	291
5	2
0	86
0	0
0	0
0	98
91	0
16	4
261	165
3	20
0	0
38	0
0	122
58	233
0	56
34	56
5	0
10	0
0	15
0	52
0	246
0	0
0	0
6	25
6	1
120	2
2	1
45	0
106	2
0	0
6	34
0	0
3	32
3	1
51	118
2	1
0	0
8	19
0	269
3	0
3	122
1	0
0	0
0	1
62	62
1	152
1	263
0	210
2	2
0	3
2	7
6	95
0	58
3	0
0	3
18	93
0	23
90	0
4	25
0	3893
87	26688
0	379
104	79
38	610
3	0
0	0
14	22
1	36
15	7
141	12
24	1200
5	168
6	3
1	0
14	0
77	386
0	5
26	1
0	17
40	131
17	0
1	3
26	2
3	3
6	2
4	326
2	0
42	0
1	77
4	0
3	31
48	0
44	1
12	36
2	0
0	288
0	0
136	106
0	3
0	0
1	112
1	1
3	6
39	602
0	0
0	0
211	5
1	237
63	150
542	143
0	3
829	8
47	2
3	0
4	2
1	7
16	2
7	10
13	22
1	2
569	5
0	0
769	8
309	4
13	3
1	0
0	39
140	2
62	430
3	310
12	5
4	1
1	21
0	1
9	4
3	0
32	0
2	0
6	0
0	0
4	98
1	27
5	0
9	73
14	41
2	0
22	79
7	44
475	6
0	88
255	4
7	1
0	0
101	41
44	110
126	0
0	0
158	0
5	38
0	37
153	1
0	0
0	0
0	0
18	72
454	5
12	1
164	4
0	55
0	0
9	0
2	264
13	30
0	4
0	10
14	92
0	58
8	3
0	1
14	5
1	0
28	152
42	94
0	0
0	0
0	15
0	0
20	37
8	0
77	0
1	6
1	1
6	4
42	153
11	19
7	3
0	0
11	1
21	31
175	514
259	3
19	366
387	3
0	0
8	163
2	17
0	0
2	0
34	0
5	17
120	720
277	4
4	0
3	0
0	0
4	1
3	0
45	401
3	164
0	0
8	17
5	13
57	99
14	0
19	199
1886	719
19	17
6	27
100	113
87	27
0	0
25	0
0	0
3	291
6	3
0	0
12	1
1	0
3	0
8	0
2	67
2	83
0	0
103	0
1	22
0	0
3	1
0	0
11	31
4	31
35	12
1	2
3	28
0	84
3	5
369	3
42	29
0	394
70	180
248	0
0	0
0	0
36	64
14	167
0	0
4	54
21	0
69	597
20	47
5	230
0	1
0	153
65	0
43	81
23	2
0	135
23	223
0	67
20	0
17	553
0	1
0	40
29	332
5	3
0	0
0	113
2	0
1	0
0	98
0	0
12	515
0	72
9	143
1	0
4	0
23	496
0	40
356	5
13	0
11	66
0	0
41	0
42	3
0	161
0	9
15	0
24	108
0	35
11	0
1	0
0	8
14	4
29	241
1	144
0	202
1	3
41	176
0	45
1	0
15	0
0	0
167	2
3	4
1508	12
0	1
18	0
64	210
18	39
67	67
20	45
0	0
2	65
0	37
4	0
0	106
5	5
5	1
1	0
45	1
12	3
3	419
16	9
1	5
16	1
50	0
0	13
0	13
1	9
4	11
790	5
0	0
29	11
56	223
10	162
0	0
16	89
0	3
5	2
0	0
209	19
0	0
3	2
18	5
0	4
1	1
18	13
6	3
7	6
3	0
0	69
47	17
244	667
284	3
3	299
13	0
0	67
1	0
19	0
2	0
3	3
0	3
2	4
11	1
2	0
0	12
1	16
17	168
44	0
33	249
0	446
6	12
10	48
5	46
29	29
21	21
3	0
8	0
2	2
129	23
83	225
0	76
0	55
22	1271
8	14
0	0
24	8
227	1
2	0
223	147
78	0
0	105
16	45
11	0
0	0
17	138
0	0
4	332
2913	23
1	405
20	0
0	18
56	0
1	66
0	404
14	1
0	0
100	2
0	9
78	1
19	193
60	501
22	56
10	0
2	74
0	0
0	0
3	0
617	1509
73	192
1	0
0	0
56	0
3	34
0	57
1	10
1	0
0	0
0	0
0	389
2	125
58	1
73	13
32	85
1	19
115	61
16	5
70	1
23	4
2	0
0	181
16	3
20	7
0	664
33	5
647	3
47	0
8	33
0	0
2	1
5	14
0	183
13	354
0	65
8	1
10	209
0	0
0	0
1	0
0	184
0	2
3	3
60	1
3	37
25	72
33	20
0	20
2	142
14	299
1	0
8	28
40	0
0	86
4	0
0	0
218	3
0	0
56	1
10	0
6	9
0	500
0	0
2	0
0	13
49	0
94	53
1	0
62	0
38	343
38	28
0	0
4	0
0	45
0	11
0	2
6	37
5	295
48	553
32	0
0	32
3	26
0	7
77	1
0	8
4	42
0	202
63	162
60	252
8	183
0	1
0	4
1	73
14	0
137	0
0	13
1	4
2	4
0	580
217	31
140	474
0	0
0	0
2	11
2	0
0	169
0	0
16	192
0	0
0	130
46	326
431	2
0	365
1	0
39	101
8	52
1	10
73	265
9	1
49	91
0	0
13	1
9	0
0	56
36	1
4	0
13	6
0	13
16	18
13	6
0	0
3	2
10	3
17	4
0	0
1	2
1	3
1	2
0	627
18	7
11	22
81	1
3	0
70	1
0	0
0	0
57	83
581	101
2	136
0	4
0	3
2	10
11	4
5	58
59	13
4	6
628	4
0	36
47	36
171	327
8	136
0	49
0	107
0	37
0	6
0	0
620	138
19	0
0	0
203	3
6	1
15	4
0	617
0	0
8	1
20	129
9	0
837	9
4	207
14	71
10	0
84	0
0	14
9	51
45	0
17	0
1	0
254	2
466	5
21	0
5	398
0	2
0	233
171	3591
0	0
0	3
6	0
21	0
0	0
0	4
8	3488
696	42
14	22
0	119
264	2
7	5
185	274
3	0
0	10
0	28
1	0
30	5
23	805
100	97
1156	3594
11	611
43	192
82	8
4	1
3	0
39	72
21	0
2	101
4	382
13	6
0	6
0	2
126	9
0	0
133	2
178	1
1	2
2	430
1	0
0	0
331	359
1	0
35	9
420	1
0	288
2	185
0	0
5	93
1	347
6	0
0	0
147	2
1	15
25	0
6	12
97	0
7	0
1	0
3	5
12	88
43	0
15	0
22	169
26	594
0	84
3	0
0	8
0	6
0	4
119	1
3	178
18	6
31	47
4	0
60	810
106	12
11	0
2	82
4	60
10	28
1	7
602	6
0	0
146	0
0	123
0	0
1	767
1	0
1	0
1	0
1	159
3	1
16	58
0	5
411	2
0	0
0	43
0	2
35	89
0	1014
0	4
3	1
4	2
0	29
0	191
2	2
1	39
1	0
2	317
2	286
0	4
0	5
1	0
113	547
0	6
1985	4796
0	3
1	3
189	0
14	1
111	101
124	4
22120	158
28	228
4	61
0	47
0	0
0	562
0	6
25	0
3	1
0	1
12	1
3	0
0	0
28	0
12	161
0	56
3	0
0	102
0	141
1	0
2	1
0	326
1	0
19	461
1	1
0	75
21	110
33	131
10	62
5	5022
1	0
0	0
2	5
29	49
0	0
250	2
1	65
7	1
0	31
3	39
1	5
1	2
0	0
0	24
1	0
1	73
0	4
22	0
12	161
101	1
19	204
0	8
5	10
0	33
10	27
11	186
125	114
0	0
0	0
1	0
0	0
110	0
0	129
1	36
3	0
22	74
0	1
0	57
0	0
14	43
0	42
0	0
47	293
618	6
0	0
1	66
22	2
16	0
111	2
2	0
0	2
0	0
8	1
0	0
0	172
2509	25
0	0
0	28
5	471
4	0
7	56
4	35
6	1
0	105
0	0
70	1
0	0
196	1
0	0
60	823
10	159
10	199
41	9
100	2
25	26
111	111
47	12
7	6
22	0
17	1348
0	29
6	9
14	29
28	0
23	40
0	0
0	5
0	18
0	0
0	0
6	0
0	0
3	60
0	0
122	2
4	73
3	2303
2	0
11	70
0	127
14	95
32	3
0	0
68	223
9	44
3	14
1	0
5	2
4	45
1	6
3	23
1	4
306	268
0	279
12	0
13	55
162	4
7	90
2	86
1	0
0	0
165	41
5	1037
9	96
1	1
2	0
5	0
39	508
8	0
10	0
3	29
6	1
0	40
37	0
13	304
43	128
4	0
2	0
0	3
0	0
1	0
2	126
34	0
87	1
4	115
0	6
0	1
3	0
30	7
1	0
1	5
82	136
0	3
15	137
28	44
3	0
0	79
2	1
0	1
0	0
0	0
2	2
2	10
57	1
11	0
138	148
5	0
130	0
33	1
0	24
2835	16
149	1
532	2
607	2
223	23
0	10
14	63
150	15
0	56
16	125
72	30
14	7
7	32
0	9
0	2
1	50
0	18
2	0
12	190
0	0
21	0
2	0
15	91
1	3
148	33
1	0
0	0
6	345
4	0
45	57
11	0
0	0
1	0
0	0
68	0
21	0
25	291
0	262
20	0
2	2
45	228
17	25
0	4
0	0
21	258
41	0
1	0
3	0
18	341
27	0
208	16
6	2
0	0
30	0
48	3
13	1
463	1623
9	15
468	3
258	2
0	4
0	769
104	2
5	0
57	148
0	30
2	0
2	0
0	3
36	8
0	0
0	0
496	3
0	83
3	0
68	3
2	3
7	0
53	230
0	78
0	0
0	49
1	0
99	1
2	0
0	0
3	0
69	176
47	181
0	0
3	23
677	4
1	0
1	1016
12	4
501	82
2	0
0	149
0	1
2	0
18	0
8	0
188	0
273	3772
0	87
38	280
71	3
1	58
0	207
3	1
20	17
7	33
1	1
1	1
6	65
0	2
1	223
94	3
0	0
3	102
0	218
3	0
63	0
143	585
3	11
11	1
0	0
1	210
64	0
0	70
0	0
28	8
0	0
0	0
1	0
16	0
83	0
22	74
1	6
0	6
5	17
14	1
0	1
0	0
0	42
1063	13
0	157
0	1
8	102
8	53
8	179
7	216
165	1
2	308
5	1
2	0
1	59
52	1
303	206
23	295
20	7
2	0
55	0
0	0
1	39
1	1
0	61
0	0
24	116
2	35
2	1
0	0
0	472
14	6
126	47
0	81
24	0
0	1
654	348
202	2
49	0
3	0
4	0
0	6
135	29
0	74
0	0
105	2
23	17
24	84
3	1
13	253
56	171
30	5
0	1
0	15
2	0
3	4
2	3
45	46
0	2
3	88
4	2
6	16
55	162
46	0
0	0
0	0
47	0
40	757
5	3
15	2
7	0
5	1
23	1
0	0
1	2
43	54
6	6
1	3
0	44
3	0
7	1868
9	1
0	0
1	0
0	85
1	2
0	0
8	1
191	1
0	0
1	7
6	19
0	0
0	0
25	0
2	1
0	0
97	36
54	1132
3	1
1	0
1	177
1	0
238	3
0	0
100	0
4	78
2	2
1	64
650	4
35	0
3	125
0	0
1102	9
62	121
7	181
43	83
0	104
8	99
0	0
23	470
0	68
2	199
22	76
0	2
21	103
0	185
0	0
0	0
3	103
5	75
36	639
10	36
5	34
10	70
18	0
2	1
0	0
6	0
18	0
35	0
0	19
19	179
12	0
20	224
0	2
339	8
9	144
169	1
5	1
204	2
16	5
18	0
257	1
44	0
0	0
0	1
156	241
11	28
7	0
7	8
0	8
0	0
89	148
61	7
29	3
568	112
1	1
75	25
149	2
10	2
345	5
6	85
0	0
1	294
5	1
19	611
5	33
1	0
18	0
6	40
19	1617
0	172
8	0
5	0
10	18
10	72
5	0
5	0
0	145
0	5
102	2
1	0
0	0
2	118
4	0
12	346
203	1
29	0
39	1253
0	26
0	0
0	0
0	0
17	1
12	1
0	103
10	10
5	4
15	921
55	24
61	275
2	33
14	2
4	2
0	0
0	0
305	1
0	3
1	0
5	8
4	0
24	1
0	185
0	2
6	0
0	0
0	530
316	1
2	0
18	0
99	89
31	6
13	63
962	575
0	0
1	0
145	0
1	2
67	0
2	0
0	0
3	0
26	184
508	4
11	8
2	0
0	19
15	84
2	116
128	2
0	0
1	36
0	2
2	0
13	202
3	40
0	1
1	32
0	4
0	2
0	1
616	2117
67	195
140	121
6	108
8	104
0	77
15	0
19	516
2	0
1	16
0	80
297	127
2	0
50	258
0	4
45	0
5	214
0	1
0	0
668	2581
0	0
18	115
32	0
43	0
0	0
0	42
13	99
50	0
11	147
2	0
8	58
0	153
16	0
2	3
33	64
6	12
7	5
0	0
0	2
1	0
2	344
5912	34
0	233
1	152
3	80
26	1
52	169
3	0
5	33
86	1
32	0
0	0
1	129
3	0
2	158
58	432
0	118
49	18
1	47
2	245
5	179
5	110
5	0
1	0
0	0
114	387
0	128
123	1
66	0
31	457
9	0
1	0
0	0
4	153
0	1
23	40
1	538
4	0
0	2
0	0
9	170
328	2
4	0
0	0
204	3
10	1
15	1
9	203
130	0
218	0
11	0
1	265
0	0
0	0
0	0
125	681
28	32
0	0
75	1
239	0
10	97
0	0
7	14
0	0
0	0
0	16
0	14
8	467
6	5
96	2
5	0
3	0
45	354
3	82
0	0
0	0
0	0
3	75
0	0
13	166
9	0
2	45
0	4
3	0
8	1
3	1
2	716
0	0
49	1
14	0
0	0
10	27
20	0
100	32
2	2
443	3
116	0
0	0
0	0
1	0
5	1
0	0
0	28
26	242
4	118
31	99
16	20
5	23
0	15
4	99
13	47
0	6
46	178
0	0
13	39
2	0
0	35
28	239
0	34
4	337
0	37
2	2
1	0
0	0
4	4
8	99
10	0
3	25
20	366
0	0
0	164
43	416
2	8
6	61
37	0
1	7
493	2
69	534
1	6
1038	13
159	1
13	36
163	225
5	0
9	93
0	80
0	17
0	27
0	0
33	119
3	2
140	1
18	373
0	7
26	0
6	0
0	1169
3	148
3	2
87	292
6	1
35	1
491	7
27	148
4	17
1	11
7	182
11	68
6	0
701	5
3	0
5	8
0	0
4	1
7	0
18	15
22	14
11373	113
6	1
0	0
4	70
30	1
