UniqueCount	AmbigCount
19857	3712
136	444
461	25
573	24
270	949
118	216
0	50
539	2958
0	1
7	0
533	3
15	0
16	0
46	202
9860	0
16	14255
0	0
2	1231
2	0
0	6612
72	30
15	380
853	0
0	0
0	10279
13503	1
6	16458
0	0
725	2196
64	12245
399	0
239	660
0	0
1395	1202
104	597
1860	0
5	3404
5	2
254	40
56	921
1152	4915
16	0
117	2152
34	7
4	0
2	7
13	1129
342	8028
249	288
0	0
11	1
2	8
0	0
80	1
0	0
146	960
0	0
58	0
436	898
56	581
0	0
10	1482
28	88
80	1451
11	3065
4	0
274	677
1986	0
0	0
597	0
1017	3893
1	403
0	0
3369	1
0	2083
2445	1
5132	0
138	6
85	1288
321	3931
97	157
16	47
978	994
20	970
690	3693
1509	276
363	227
195	3
30	3
46	2210
264	0
7	3
115	195
0	5414
19	1
669	347
6071	0
15	0
601	15939
17	0
48	107
35	0
2545	418
76	1251
473	1905
64	0
5158	3
5	431
283	1218
0	99
20	6883
312	0
1356	0
13062	2
18	41
1175	974
26	179
152	7631
2	2940
5	796
0	0
2256	22236
0	838
1	689
1	0
0	0
3	0
11	0
665	3890
5481	1216
0	0
1905	0
41	18518
1491	1565
23	244
719	19
749	1
9644	3
0	937
65	2074
1672	2263
23	0
18	944
10	5
524	4057
2	164
0	0
10467	7
10	67
0	0
599	0
0	0
6234	0
48	44
1372	0
1565	0
2	933
0	0
1923	6202
394	420
314	0
19	848
0	93
582	0
1	0
0	0
19	2320
0	0
12	0
0	30
1	12
2417	6912
4	0
0	2089
15	19
125	0
9216	1150
11	0
24	0
626	0
8	0
9	0
3	1
9	1
5464	3
268	9066
56	5
315	0
1	3
417	3987
737	0
0	0
0	0
404	1876
41	0
6	45
2292	0
599	598
61	0
513	285
347	189
84	5790
98	1
1	3
209	1301
4	17
69	422
1375	0
382	4956
425	22
72	8
14	203
115	99
0	502
1	8
15	36
13	3900
2832	0
73	2
34	500
50	571
251	66503
533	515
93	0
236	0
6	12
14019	2
0	0
0	87
33	4934
16	0
168	2845
827	626
1160	0
198	14326
6	0
0	7
0	0
63	0
21	0
596	5244
4	2
5	3384
447	8194
1373	0
158	18
0	0
32	0
9	0
19	13
323	1204
0	0
0	0
197	579
473	1510
0	0
2	0
0	0
14	0
86	4
535	140
756	42
411	0
131	1
576	5287
1581	1
1	6518
0	4
208	878
3388	0
285	1033
0	312
2205	3613
559	491
17	89
2632	0
3	3359
962	0
4	0
245	4706
3506	0
155	0
65	6439
0	0
411	0
898	0
2007	1213
1863	1
145	1716
785	0
93	1045
1	1913
1	0
1823	2
220	2
967	19107
0	0
879	5052
721	0
1	4396
312	955
171	1
459	32481
0	0
587	53613
47	1167
865	0
0	306
3544	0
189	0
175	1282
909	0
0	0
1716	1164
340	44
76	2
319	365
405	7350
482	309
1	2
303	191
3	2653
36	0
372	2488
32	0
0	5115
0	0
0	0
271	476
1719	0
51	462
230	438
726	427
282	5241
394	0
10	1
1	1
1517	0
0	6286
53	844
30	60
224	6459
3562	180
117	1
95	0
0	0
86	28
63	35
21	0
28	5
3199	0
181	74
0	0
0	0
78	37
153	417
0	0
0	0
66	132
3785	8404
11	0
0	0
169	2780
45	0
5	0
0	0
0	49
89	143
773	1567
212	11
3	1
19	0
189	13
0	0
725	0
10	275
0	0
7	42
11	3
288	2208
0	0
28	1
51	7
0	3262
83	589
4225	0
0	0
1257	13145
71	3
16	25
1235	0
0	0
3179	486
17	0
0	2342
6	1
0	5758
10	2
41	3491
0	12
4615	2211
12595	0
59	0
620	322
8	6
226	0
389	2309
1875	0
384	3
808	9
152	12
1776	8
666	8
1070	0
445	0
1443	1
0	0
41	8
26	251
0	3
2	0
468	268
25	4
1677	548
0	35685
3774	282
1018	5484
51	1130
200	19
0	0
4504	0
30	174
40	44
21	61
0	0
99	10349
2307	0
0	0
107	1839
63	200
40	1959
516	47
0	1311
1	0
4080	0
0	3295
1	0
23	1893
16	36
2398	2
4	12
652	5187
0	1
331	2250
0	0
2336	2
17	2
0	0
1051	0
46774	8
18754	0
0	5970
48	0
2	0
1604	0
582	1
0	2168
65	0
0	210
38	8
62	8
8099	4780
31	33
971	3014
10828	0
0	1378
28	3163
585	0
149	1433
61	47
6	0
0	0
336	4503
2	0
1	0
670	0
34	56
484	0
3817	0
0	0
867	0
221	0
2021	0
4	0
281	0
0	1
1293	3685
1021	0
0	4329
1573	0
5699	0
2	2
2	0
189	1063
164	364
149	0
376	0
8	79
2	70
12	81
6	70
2	75
19	2
27289	1
6180	2
2585	2774
141	0
618	2793
1478	1
39	103
594	0
2	0
86	2
37	2
88	1050
5496	3961
0	0
51	1436
90	0
152	0
1	13
611	0
8	0
17	0
15	0
0	0
24	5
3998	0
29	0
741	3810
557	295
40	4
1259	1
0	0
0	0
26	1239
5	1882
1	0
163	2
7	0
41	691
10	7
26	0
10	0
44	277
29	1126
88	64
1624	1594
15	91
16056	0
18	0
0	0
32	0
33	0
170	1908
317	0
3	247
45	843
0	0
234	0
803	1234
421	0
5	9
2530	1
2102	1
580	70
1874	7157
37	111
31	0
439	0
1187	0
911	1393
2	1512
479	414
6344	0
461	6241
383	66
1836	2346
0	0
324	396
23	1182
120	927
90	0
232	2426
0	5197
861	3957
1	1
0	215
0	2
0	2
0	1954
4	0
208	2675
0	0
468	339
345	2629
23069	6
1772	50
5	0
113	39
1352	0
17334	0
6966	1
5117	0
1587	2975
67	1
13	1207
59	4917
1	0
31	2435
6458	3584
148	0
4041	0
20	2571
200	10229
0	0
502	6895
127825	18
266	1120
1137	0
1	0
10956	0
0	0
43	622
0	0
0	1262
8	83
47	4
21	23
3	127
42	849
49	2183
562	0
861	4744
2448	1675
1796	0
408	0
1588	2585
2107	0
14	0
8	0
15	0
204	20977
2	0
4	0
0	0
8	43
350	2250
10659	0
1113	526
0	0
5982	3
88	74
139	174
154	23
38757	5
1323	0
0	0
3959	0
3602	1488
115	6008
215	0
10	4077
3	0
14	12561
855	7154
64	83
1355	213
2102	0
0	14
0	0
0	0
1405	3206
23	95
3	409
1	0
302	0
0	0
17	1
3	1
0	0
0	0
25	0
39	108
63	516
197	3740
0	0
187	2377
0	0
8	44
0	0
20	6
0	0
34	426
569	426
217	3985
1152	330
2519	0
11132	0
658	3744
56	6146
4475	0
5554	2
0	165
41	92
0	638
342	0
32758	3
2274	0
3	334
969	0
0	0
0	0
49	0
2035	0
2	0
14	0
159	0
115	1361
27	0
17	0
263	0
0	1
30	0
343	2044
179	1004
1281	0
10	115
143	2031
0	0
2192	4345
817	1
0	0
83	3
0	0
43	229
2	0
28	0
3476	0
0	0
114	0
14737	2
6	63
0	42
18	0
0	0
48	1666
63	0
25	1387
7	26
27	181
165	5
26	0
13	138
5	689
2877	1
5	100
8797	13
8	1
0	1740
2	0
24	213
161	1263
11	0
211	0
49	0
2	585
230	0
4	10
0	0
0	0
56	12
9	28
0	0
58	14
2757	1647
40	3
16268	2
0	0
1940	135
2653	136
5	404
412	1
6111	4
86	60
1618	0
30	3230
3833	0
0	0
1305	0
3	1895
2419	0
12	3
0	0
224	0
0	0
0	1
23	2
30	0
0	0
3	323
0	1811
14	232
0	0
6118	9198
73	12
0	0
212	0
0	15
14	15
102	2446
1	1665
2746	1
5880	1
10	55
5	1
18	0
13	0
2717	4790
0	685
0	10
0	7
1	1
572	0
0	3910
12	109
9	2
53	2737
824	27064
6745	2344
752	6511
69	109
8140	4403
2936	4013
4274	121
21	3
490	0
2	0
13	4956
43	0
89	117
207	2236
0	0
135	517
172	749
1361	2
326	943
0	0
130	221
2	1
182	0
785	15648
0	0
0	0
0	1
308	6786
40	543
293	4975
0	0
205	2389
40	91
662	0
4312	1
221	1235
13	0
0	956
474	3606
626	6499
5	1800
179	10
364	9106
42	1775
3635	0
3084	0
1205	0
0	531
22	0
472	0
77	209
7	246
0	0
286	3670
256	0
70	47
41	4
3756	1
0	0
133	7813
22	995
73	453
415	61
9	15
179	13
31	49
6	48
64	3
0	0
2	2225
24	5
4	513
0	58
1	5422
2138	0
135	1338
2934	0
333	5608
15	2
5	131
31	446
2007	2
0	0
6	1
1720	2596
47	7137
4	0
88	0
2423	0
800	0
0	16634
0	0
170	0
127	3842
11	98
205	6039
8	9
0	3065
7	230
75	14
0	290
0	0
0	0
282	1260
2998	5864
24	2237
1693	14248
164	2194
0	52994
898	0
277	0
1006	993
1364	0
2	0
178	688
3439	0
112	6
38	6
32	13
87	376
15	0
0	0
518	4340
0	0
791	1777
0	0
39	0
4	17
0	0
45	7401
298	2513
0	6
137	846
12	0
284	13
5001	22392
315	1111
229	269
605	1460
350	4815
13	81
0	46
45	750
0	0
0	0
11	3
555	442
971	4463
461	6621
5478	0
1495	0
2	0
1869	0
267	4603
163	4595
7850	1
82	0
15134	1
8357	0
606	47
0	9225
138	0
0	0
251	68
31	853
8018	1
213	6085
68	1144
96	50
467	21
0	0
16	327
29	3018
1	762
0	0
41	1355
1088	15430
12	21
0	1
0	0
55	36
0	0
479	764
0	0
17	19
15	2
26	16
1520	2442
2	0
183	1328
19	37
0	0
26	898
0	707
20	825
147	51
435	1
755	0
2538	1
186	88
379	0
7654	5175
4	27
8	0
8517	0
45	2290
48893	65696
27	0
50	347
191	143
17518	49359
3	43803
20	523
7889	1
152	872
0	0
0	0
8	8
15	0
18	1
155	1954
0	1783
999	7769
0	0
77	11847
24	1739
0	0
1209	0
3179	0
36	1
46	0
3586	1
818	725
0	0
85	284
66	43
155	45
3	0
416	11316
1684	0
41	88
119	41
5	619
42	47
8	0
0	0
0	559
0	0
3	672
278	0
299	1
1	0
15	0
0	2668
62	28
2	4603
189	38
45	6
2	731
105	11
22	0
1445	0
546	0
20	70
0	0
0	602
1	0
987	0
298	910
47	5009
120	1713
2086	1410
4	3686
14	1519
15134	563
2	0
83	53
48	7801
10	0
0	0
66	0
1695	71
1470	9874
0	0
6	87
299	10057
54	1003
0	0
5142	9782
1957	2
17	139
4	0
0	0
532	160
215	11842
32	16
196	7081
4554	4820
3	3
145	1326
340	0
70	718
0	1260
0	0
6	1363
83	626
81	9882
1445	0
0	314
22	8
0	0
200	2643
0	0
3500	2
0	292
0	0
20	926
26	126
8	4
208	2229
738	1
0	0
20	1229
10	0
2521	1
27	1
0	0
0	0
50	666
412	5783
24	32
0	0
849	436
9736	0
1409	541
174	766
0	0
0	0
3	2
645	17270
4	321
7	0
9739	14424
1004	642
13	39
73	3486
0	0
31	0
18	1383
367	13313
0	1897
341	348
236	58
8	0
2716	27
17	0
34	61
1045	79
17131	0
69	0
1272	0
15	0
287	2050
0	0
0	6095
0	1195
838	0
27	0
28	2731
131	0
247	2845
8	44
0	0
18	1512
289	610
3	12
0	0
0	0
363	5220
767	2751
0	3810
20	0
753	8778
259	4902
527	0
1083	1278
13	0
88	991
9	0
0	9738
0	0
552	5991
177	0
3	103
185	3119
654	983
25	224
0	1472
4	852
0	0
36	8
484	1512
26	3483
8	0
661	0
30	0
5	0
100	34
241	2164
23	1
1	2443
384	0
14	343
13	0
1830	1347
0	1138
0	164
276	567
399	7769
0	1
1	0
0	3622
94	523
14	0
577	3494
80	246
0	4
29	2665
2	56
3	0
108	0
4784	0
0	0
181	5403
0	7358
17	4426
0	0
49	12
5157	0
6	0
278	1964
380	5637
7414	14
105	12
4	15
5984	3
2	0
3	145
135	4086
4246	0
414	1926
0	796
3	0
0	1681
351	588
3169	0
0	0
4	0
0	0
265	1672
48	8199
188	0
45	30
83	2295
1708	0
324	1115
1416	0
38	2
0	11235
1742	0
0	0
637	0
111	1353
6	323
166	1513
20	0
15	0
63	89
0	7
59	1
33	38
5	1
0	2
7907	3463
136	236
28	0
1	959
13345	3464
340	0
1290	2
289	0
9	0
289	6196
0	0
28	3309
2692	0
15	509
188	0
223	11
3160	530
0	0
11	423
3078	0
1946	0
11	0
