UniqueCount	AmbigCount
5738	1525
53	263
266	4
77	7
55	1298
19	141
0	6
115	922
0	0
10	0
22	0
1	0
1	0
9	75
3062	0
2	174
0	0
3	868
0	0
0	2236
2	4
5	75
186	0
0	0
0	2072
7196	4
23	4125
0	0
263	722
103	7895
182	0
38	119
0	0
513	212
14	140
679	0
1	922
1	0
56	15
8	204
278	952
9	0
18	619
1	3
1	1
0	1
0	416
33	2419
27	52
0	0
0	0
0	0
0	0
2	0
0	0
14	162
0	0
4	0
96	138
1	94
0	0
5	334
1	7
40	748
12	1964
0	0
33	109
394	0
0	0
203	2
307	1079
1	135
0	0
1227	0
0	179
1075	2
1366	1
10	1
100	858
124	1264
27	27
2	2
363	698
9	348
36	135
422	63
9	13
17	0
7	0
6	353
748	0
1	0
27	24
0	1315
6	0
468	175
2103	0
0	0
117	5602
0	0
23	46
11	0
975	126
4	216
241	791
3	0
1159	0
0	28
61	378
0	80
2	2040
89	0
154	0
10077	4
1	2
269	326
5	36
90	3005
14	1600
1	263
0	0
30	6676
0	404
0	74
0	0
0	0
2	0
0	0
122	1344
1345	371
0	0
304	0
8	4994
644	896
154	266
451	4
240	0
2114	0
0	2
8	431
327	467
2	0
11	377
5	1
94	876
1	18
0	0
1432	1
0	7
0	0
121	0
0	0
1220	1
1	2
556	2
414	0
5	378
0	0
367	740
66	88
90	0
6	183
0	9
56	0
0	0
0	0
5	786
0	0
0	0
0	1
0	0
678	2673
1	0
0	475
8	6
32	0
6934	1250
0	0
4	0
174	0
2	0
1	0
5	0
2	0
1453	0
85	2318
9	0
5573	11
13	22
90	723
138	0
0	0
0	0
45	371
4	0
0	7
111	0
219	147
172	0
166	95
28	44
43	1234
13	0
1	2
86	384
2	18
14	52
473	0
85	1454
164	11
9	0
46	24
18	17
0	356
0	0
1	0
6	1594
706	0
12	0
0	106
13	116
294	27910
271	239
673	0
107	0
0	5
5727	1
0	0
0	381
15	2320
4	0
90	1189
215	115
104	0
64	2637
2	0
1	2
0	0
3	0
5	0
151	1318
1	0
0	637
47	1316
129	0
28	4
0	0
24	0
0	0
0	0
40	233
0	0
0	0
81	174
64	142
0	0
10	0
0	0
0	0
0	0
109	36
201	8
51	0
27	1
202	1822
1124	1
0	1350
0	0
0	64
771	1
80	166
0	21
656	1495
226	175
7	64
703	0
4	2548
226	0
1	0
34	1072
1327	2
10	0
14	2536
0	0
273	0
443	0
452	462
298	0
27	402
29	0
4	131
16	486
0	0
499	1
46	1
186	4331
0	0
380	1376
126	0
0	2136
112	333
12	0
28	5108
0	0
320	12094
5	196
187	0
0	41
1162	0
156	0
48	534
273	0
0	0
475	281
66	17
6	0
47	62
58	1193
355	254
0	0
80	88
2	512
2	0
137	1160
5	0
1	1520
0	0
0	0
140	202
323	0
17	264
66	229
194	168
153	1074
82	0
0	0
0	0
596	0
0	1362
7	171
7	35
26	1735
814	11
39	0
44	0
0	0
15	2
4	3
133	0
1	0
476	0
13	8
12	0
0	0
16	5
11	76
1	0
0	0
18	77
877	1926
1	0
0	0
8	125
16	0
3	0
0	1
0	27
20	10
199	515
73	10
0	1
2	0
10	1
0	0
171	0
70	406
0	0
2	4
6	3
139	572
0	0
0	0
6	1
0	579
25	100
361	0
0	0
445	3173
5	1
1	4
295	0
0	0
1160	178
3	0
0	785
6	7
0	1357
2	3
6	812
0	1
1753	786
2806	0
16	0
135	142
5	10
4	0
43	318
1002	1
120	0
278	1
53	1
634	3
144	3
211	0
118	0
424	0
0	0
6	0
23	462
0	0
1	0
104	83
5	1
491	187
0	7209
2476	180
418	2879
22	536
36	6
0	0
1409	0
0	9
1	3
2	2
0	0
21	1621
1128	1
0	0
283	3629
5	43
8	528
59	11
0	224
0	0
976	0
0	928
0	0
17	815
0	0
402	0
0	0
176	895
0	0
39	492
1	0
926	1
0	1
0	0
1619	1
15319	9
8962	3
0	2018
2	0
0	0
231	0
69	0
0	499
5	0
0	75
5	1
12	1
2180	1163
9	2
182	487
2283	1
0	219
7	894
115	0
19	445
12	1
0	0
0	0
118	1122
1	0
0	0
65	0
7	11
276	0
1234	0
0	0
300	0
63	0
368	0
1	0
40	0
0	1
292	1049
80	0
0	1519
362	0
2988	0
0	0
1	0
118	631
0	9
10	0
39	0
4	8
0	5
0	7
0	13
17	117
0	2
9894	5
1212	0
365	612
244	1
276	2102
348	0
12	15
94	0
0	0
23	0
24	0
16	129
1595	1062
0	0
6	479
23	0
9	0
0	0
98	0
2	0
