UniqueCount	AmbigCount
71	58
22	0
10	0
114	0
378	938
364	984
0	0
0	0
0	0
0	0
0	0
13	159
274	0
22	0
0	0
299	0
80	481
0	28
8	0
171	2
59	0
0	736
207	273
0	0
167	414
0	581
8	0
9	0
1158	1243
0	16
1	0
866	0
311	4560
0	0
2	2
5	311
4	0
0	1869
0	0
48	772
7	0
4	0
0	396
0	519
24	836
6	30
0	493
79	1347
1	1668
0	0
10	2747
235	523
72	46
23	1176
0	0
53	916
0	0
0	937
0	0
3144	2
0	0
118	335
0	84
0	0
303	0
0	41
27	0
29	1
0	0
259	613
27	0
0	0
1	0
2	169
7	3
3	0
199	1
163	1
0	1063
1086	0
2314	2
328	541
664	731
1495	1220
0	20
1	0
76	523
52	4
0	1
282	7
1678	0
1177	0
2	0
10	386
462	1811
62	1425
0	202
69	32
183	130
3	0
313	0
2	0
3	0
0	0
792	839
0	262
6	0
61	28
27	1
0	0
1395	4193
26	2299
790	0
0	0
594	17275
214	592
0	25
235	335
1155	0
445	42
10071	4
36	0
68	0
1515	1
733	473
1	72
0	0
0	0
2	0
0	0
58	404
90	0
7	483
7	0
56	46
102	331
209	2214
2686	3076
5	24
545	0
677	1
0	44
4	617
0	1133
54	0
2	0
0	0
1975	0
8863	3
274	0
387	1
79	151
570	1896
0	0
4	203
1	0
61	2155
66	1885
95	335
6	61
0	0
2	0
375	0
3	0
19	945
73	184
394	1625
52	0
22	1917
168	99
11	1361
944	1798
16	0
1	259
9	0
1	0
109	4236
32	0
12	37
44	1
9	1
0	2
0	230
0	168
4	2
5	0
0	11
0	651
0	0
1826	0
26	316
9	27
0	0
24	339
49	2188
10391	6
1394	1
67	2
2379	0
4	234
0	3671
0	0
0	5247
0	0
154	287
0	0
5	22
222	744
0	0
3813	0
0	96
315	8931
0	1631
0	0
447	0
63	779
34	1123
0	346
54	7
145	787
126	3800
0	0
99	45
6	0
1	0
2686	0
3424	1
5053	19504
14	236
29	380
0	14
559	0
91	772
148	930
2241	1
0	3988
1	0
0	276
2	0
0	0
0	2148
362	595
451	0
0	0
56	1
0	13
