UniqueCount	AmbigCount
555	0
0	0
26	0
6	0
16	16
62	178
85	240
97	0
41	1199
419	0
38	575
0	0
731	0
103	610
83	117
189	164
117	0
259	10
0	16
877	10
0	0
796	367
186	0
7	3
45	604
1	0
1	470
667	1
235	4
458	0
66	242
74	0
54	102
214	650
973	0
64	5
22	0
55	490
41	0
67	110
499	0
114	27
4287	48
23	0
488	0
19	2674
1	0
517	1795
206	0
24	749
36	0
2	5
1	325
0	0
77	472
11	20
4	3
14	0
7	3
7	0
0	332
0	1365
2109	1
1	71
10	941
10	0
38	0
157	457
4	123
1047	0
231	183
125	135
97	77
5	31
8	2
14	13
8	78
114	1564
351	0
560	0
144	0
72	353
141	131
66	44
7	0
115	1443
0	101
6	31
5	0
1	0
10	649
0	1498
73	0
2224	0
3475	832
88	231
261	2580
0	47
83	0
8	6
0	0
104	0
432	393
0	0
240	2701
3	0
26	721
362	1412
0	0
0	0
258	0
936	221
2379	0
282	0
71	0
3397	1273
348	7
46	291
2	1960
3	0
21	76
211	0
22	2
3024	0
8	1
2007	0
0	755
4	245
4	26
0	0
8166	1
1	2
1	390
160	8
0	0
15	16
2	2
24	573
212	2305
3	15
22	633
115	597
5	64
459	0
0	0
636	0
35	25
2	263
3	1
10	39
10	45
1326	0
28	529
22	228
426	0
18	0
2	159
77	1599
2259	1089
2555	0
6	1
5	0
2	1
628	0
253	3907
7	0
11	192
35	44
6	0
6	45
444	966
0	765
540	0
293	2410
25	1044
16	142
157	213
0	0
502	0
84	0
22	50
418	0
708	0
33	0
62	405
11	79
337	0
46	0
0	0
242	0
8	0
214	544
672	0
67	0
325	0
31	65
34	2225
32	37
0	1536
7	51
1940	9
2	614
41	1024
6	211
8	23
14	89
0	0
2	0
84	2009
20	0
5	0
1930	0
107	216
185	2402
309	243
2	8
4293	0
1	0
0	0
0	0
33	149
3	0
201	2591
11	1
2	1
1	0
371	0
158	99
3	2
0	0
0	82
31	70
0	633
3	450
0	0
169	0
26	357
9	0
14	21
69	1
13	14
7	0
1964	0
0	99
242	452
1563	0
501	243
0	344
596	0
1713	0
47	581
3356	1
548	124
198	0
221	0
345	0
57	163
87	355
74	158
12	4
9	61
2	573
699	0
12	0
0	0
3	11
47	235
9	70
1	0
1456	0
1	0
49	0
34	0
0	689
5	0
158	1446
6	1494
157	679
0	186
72	260
44	0
112	527
77	181
426	0
148	0
3	1713
8	93
0	1005
780	8597
9	6
62	1042
5	0
1175	0
317	17
1	0
18	0
342	599
0	0
57	5
8	3
239	1
17	796
3204	1
6	792
2	0
7	0
229	65
45	29
756	0
3	96
1680	547
159	0
4	362
0	1
84	1744
4	1
2	1
317	0
2	1535
254	0
0	0
2	0
320	865
101	0
145	0
173	565
25	317
0	2166
939	0
2	0
131	108
0	0
0	2406
0	544
31	6
10	0
422	1145
187	0
1	119
386	0
36	70
13	176
84	407
1244	1
1958	1975
324	1345
1589	0
0	3086
272	1
213	0
132	1755
259	0
0	0
640	0
1476	0
0	4028
88	248
11	0
406	0
28	0
0	0
235	0
189	510
646	9
488	9
35	400
611	288
5	64
476	0
0	0
0	784
120	10
116	21
283	21
270	0
36	145
1449	0
0	0
146	587
0	166
1584	0
82	0
102	0
198	0
250	0
1	2040
4	61
0	195
59	860
57	7
0	0
35	279
0	0
16	0
2968	0
0	0
309	0
20	0
59	0
660	0
4	3
90	418
942	0
16	15
1	2054
13	0
238	349
173	1
16	3
31	277
463	0
81	196
816	3841
53	0
102	681
89	998
0	0
1831	0
25	0
0	0
42	0
0	578
87	1513
3	0
8	1
4	0
8	0
1364	0
834	0
13	2648
373	488
13	1344
44	37
0	0
0	0
0	0
867	0
15	3
40	1055
0	0
1098	0
192	92
11	2
16	4
0	0
797	0
107	976
59	758
0	1
51	0
2	0
52	12
1941	0
10	442
40	184
0	360
186	319
0	838
38	195
1114	0
686	584
0	284
1	939
11	0
0	0
4	0
205	144
609	0
59	513
490	0
236	0
56	921
0	0
141	109
15	3
3	0
60	0
8	0
73	0
46	0
81	447
3	909
50	0
31	0
15	356
0	0
2173	2
513	0
24	16
424	40
64	653
95	253
0	0
0	0
37	180
508	0
162	320
167	0
504	0
13	235
0	521
210	0
881	0
0	5179
1	0
345	1057
359	401
0	0
25	3
715	510
65	0
5	0
11	605
202	304
0	144
0	0
0	105
97	412
4	11
1	0
8	19
16	2
12	0
227	13
41	65
3	576
55	610
1580	0
124	1
2	0
2	0
5	0
10	0
6	301
0	976
12	3
216	289
4	58
0	15
20	0
4	0
846	519
347	53
657	0
446	0
82	3356
1	14
0	764
11	0
38	0
0	142
497	0
0	85
298	0
20	195
5	289
36	4
9	3
32	179
23	614
3180	0
346	0
149	267
307	191
36	0
3	0
2	0
759	0
9	339
2	0
11	905
16	18
3	2
10	1
1	0
0	0
128	0
22	0
22	204
368	437
540	0
0	0
0	0
117	2200
72	1648
15	541
611	1302
38	71
76	0
2593	7
3	0
3	0
34	5
50	491
0	1325
0	3
14	157
8	2
552	0
31	0
28	1516
19	702
334	199
2	0
89	183
1	307
25	0
2	337
498	579
164	0
56	2921
11	306
194	595
33	0
1	26
7	0
6	0
14	0
105	1108
2090	2103
675	112
149	2955
323	0
200	163
767	1
185	128
584	3825
2	1
1081	0
104	0
0	622
0	527
172	0
205	0
0	0
167	0
15	1233
4	2
50	0
126	517
209	849
5	0
0	77
0	66
0	88
150	84
293	0
456	342
1390	0
1088	0
20	150
7	1
1075	0
55	0
532	0
474	1067
90	152
