UniqueCount	AmbigCount
51	0
0	0
0	0
5	0
0	2
8	21
13	35
5	0
6	168
42	1
5	42
0	0
105	1
8	72
1	23
37	26
8	0
126	5
0	3
171	10
0	14
289	65
36	0
0	0
1	101
0	0
0	43
123	2
104	3
76	1
18	68
0	0
14	17
19	69
127	2
38	5
0	0
7	45
8	0
0	0
13	0
3	0
816	50
19	0
67	2
0	290
3	0
95	282
57	0
4	61
28	0
0	0
0	69
0	2
9	61
4	2
0	0
5	0
0	0
0	0
0	61
0	198
330	8
0	4
0	120
0	0
6	0
36	73
0	28
232	7
42	13
28	18
23	18
0	2
2	0
0	0
0	8
27	214
46	0
116	4
24	0
13	52
32	10
13	0
0	1
16	295
0	8
0	2
3	0
0	0
2	57
0	17
33	0
324	2
519	119
7	24
70	490
0	19
45	0
7	12
0	0
104	3
49	23
0	0
66	399
4	0
3	47
64	267
1	2
2	0
63	2
125	33
436	2
13	0
30	0
638	263
33	0
4	34
0	178
0	0
7	11
27	0
0	0
634	9
0	0
445	7
0	116
0	7
0	1
3	0
1328	24
0	0
0	74
0	4
2	0
1	2
0	0
4	35
58	291
0	4
7	95
41	82
2	21
77	3
12	3
441	5
6	4
0	35
0	0
0	7
0	11
341	5
7	70
0	0
89	1
0	0
0	29
11	307
235	51
727	12
0	0
4	0
0	0
90	4
25	210
0	0
0	10
0	0
4	0
37	86
89	149
0	89
94	2
208	1024
4	138
3	16
14	43
3	124
75	0
1	0
4	0
48	0
136	3
8	0
9	33
1	9
21	0
2	0
14	0
32	0
2	0
5	6
83	0
13	6
19	0
0	1
6	1103
0	9
0	299
2	8
322	8
3	143
4	114
1	14
0	8
3	6
0	0
0	0
3	253
0	0
0	0
478	2
16	22
39	331
41	29
12	24
1223	17
103	1
0	0
0	0
2	23
0	0
21	220
3	0
0	0
0	0
54	0
17	11
0	1
0	0
0	4
40	90
0	390
0	54
0	0
27	0
11	64
0	0
1	0
6	0
0	1
0	0
371	5
0	38
51	94
289	5
88	21
0	0
98	0
92	3
8	95
473	9
60	8
20	0
29	1
31	18
6	13
10	15
9	22
1	2
5	18
0	98
41	19
0	0
0	0
0	3
7	24
1	22
33	56
316	3
10	2
3	0
0	0
0	147
1	0
5	65
2	252
9	43
0	11
12	56
1	0
12	104
26	33
72	0
28	0
1	202
1	2
4	108
149	949
0	0
6	100
0	0
80	0
7	0
19	0
1	0
43	142
3	62
9	4
5	1
5	0
0	110
453	40
0	126
10	11
0	0
61	21
1	1
62	2
0	7
117	38
13	7
0	94
49	39
3	198
4	21
0	22
77	0
1	201
27	0
12	0
0	0
72	132
3	0
15	0
10	84
5	32
0	236
144	4
0	0
8	12
2	0
0	277
0	30
1	0
5	0
95	335
30	0
0	24
40	0
5	5
1	168
21	62
393	11
390	468
49	105
290	2
0	747
46	1
21	0
28	127
24	0
0	5
81	1
245	3
0	1572
18	46
15	0
29	0
0	0
7	0
29	1
26	60
121	10
90	10
11	63
117	33
5	20
120	3
20	0
0	111
20	4
27	3
48	3
60	3
10	22
36	1
0	0
29	93
5	43
249	7
29	0
24	0
8	0
18	0
0	200
0	16
0	36
5	98
0	2
0	0
0	15
60	2
0	0
494	6
1	2
30	0
0	0
7	0
224	2
0	0
45	50
149	4
2	1
2	230
0	0
17	36
42	0
0	0
6	42
77	0
11	22
171	1011
6	0
12	65
17	153
2	0
285	1
0	0
0	0
1	0
0	135
16	160
153	0
0	0
0	0
0	0
166	0
279	8
3	512
30	50
0	148
0	4
2	0
0	0
5	0
252	0
0	0
16	168
0	0
86	2
22	12
6	0
0	0
28	0
101	4
11	108
25	142
2	0
0	0
0	0
11	8
421	1
0	60
0	36
0	138
19	22
0	87
5	53
85	1
153	52
0	10
0	142
0	0
0	0
0	0
34	19
147	0
19	103
66	0
103	3
0	25
3	8
16	33
0	0
0	0
2	0
0	0
0	0
6	0
9	28
4	101
8	0
5	0
0	52
15	0
394	8
61	1
2	0
70	13
7	121
24	30
0	0
0	0
2	22
87	0
17	40
4	0
84	1
5	8
0	75
22	2
115	5
0	826
3	0
47	114
79	140
1	36
3	1
603	233
7	0
0	0
0	33
34	34
0	6
11	0
0	8
7	67
22	14
10	3
0	1
2	2
3	0
38	1
5	7
3	105
10	88
263	4
110	17
0	16
3	1
0	0
0	0
5	27
0	117
3	1
32	23
5	155
0	29
33	0
0	0
134	88
30	2
51	0
115	2
23	646
1	16
0	24
18	8
4	0
0	19
9	0
0	0
115	0
6	27
0	40
6	4
0	0
4	17
2	81
950	10
80	1
13	15
98	39
2	0
3	19
0	0
178	0
0	51
0	0
0	144
0	0
1	1
0	0
16	0
2	24
1	0
0	0
8	18
39	54
139	5
35	24
11	0
25	361
0	141
0	104
85	149
6	0
17	1
406	4
0	0
0	0
1	0
9	38
0	229
0	1
1	21
0	1
74	2
8	0
6	318
2	142
59	17
24	2
2	8
0	110
3	0
0	13
124	162
38	0
4	358
1	10
26	87
0	0
0	0
0	0
0	0
0	0
9	126
334	265
90	10
37	515
52	0
116	11
79	0
25	12
72	528
0	0
156	3
18	0
0	90
1	122
27	3
27	0
1	0
17	0
0	206
3	0
59	0
30	57
32	117
0	0
0	1
0	6
0	9
27	24
26	0
43	63
592	12
273	1
2	27
1	0
240	0
1	12
0	0
57	146
10	36
92	407
0	29
29	1
206	1
0	0
0	0
0	0
98	464
101	236
0	0
0	0
12	7
64	238
1	0
28	0
0	161
0	85
0	0
0	0
0	1
0	6
2	0
6	0
86	0
11	0
0	50
2	7
54	99
0	0
5	0
0	166
55	24
20	0
0	148
9	616
5	29
10	11
4	0
2	0
13	109
23	17
6	1
0	21
10	71
0	203
0	4
5	0
15	1
1	0
7	6
0	0
39	170
15	0
0	95
0	0
0	5
103	0
0	92
16	79
69	0
37	770
58	4
15	4
77	0
0	0
0	0
1	0
2	62
316	1
512	2
9	86
0	0
0	0
147	4
30	78
42	0
0	41
464	7
11	0
4	0
152	0
0	0
0	14
57	0
0	304
118	2
5	0
19	1
480	266
150	293
0	20
14	51
15	0
12	196
10	0
43	1
0	0
37	0
0	0
13	0
85	9
28	304
5	7
2	98
0	18
34	2
3	0
0	53
74	46
0	16
0	68
0	0
0	1
1	1
1	0
201	11
9	3
62	2
0	0
35	0
4	1
5	70
29	199
14	0
73	121
191	9
0	1
0	189
1	0
4	0
412	3
21	47
0	3
0	740
237	1
53	52
20	31
9	62
2	12
1	0
47	0
45	85
0	0
7	83
0	0
1	0
163	159
0	88
139	1
0	0
6	12
11	0
104	129
18	31
1	0
2	0
2171	28
0	0
7	2
59	0
2	0
4	0
163	4
5	0
0	10
57	0
0	130
0	213
11	8
44	185
0	1
10	90
1	0
15	0
11	7
2	33
3	1
5	6
10	8
94	38
0	1
2	1
38	0
141	1
0	0
75	3
0	36
8	23
0	161
35	0
4	0
16	14
111	5
0	302
0	0
174	5
20	4
212	4
0	0
36	131
16	34
0	38
554	1301
46	6
40	0
3	0
827	7
8	5
1	104
0	0
339	0
32	72
74	0
1	3
0	18
0	0
43	171
0	0
3	3
402	4
0	7
10	60
0	9
1	0
0	0
1	26
3	53
8	85
0	0
364	2
17	0
1	213
80	311
56	27
35	80
4	88
5	25
2	0
21	4
0	0
86	234
300	4
386	7
62	2
0	0
1	148
5	0
20	135
75	0
213	4
189	6
9	4
0	2
5	102
7	6
57	0
1	0
0	36
2	0
19	688
4	135
2	0
24	6
4	3
1	4
8	412
87	3
0	444
0	0
7	6
0	52
307	4
3	25
60	2
0	0
3	24
0	0
0	0
0	0
0	0
0	2
100	12
13	30
833	14
596	526
18	98
42	3
36	84
8	3
2	0
33	5
6	10
0	0
24	0
0	0
162	2
5	48
523	14
0	15
2	0
64	3
0	7
2264	20
0	77
1	95
5	0
0	0
1258	24
26	8
8	97
14	40
50	0
0	131
18	272
3	400
100	0
31	0
22	15
81	0
0	310
0	225
3	1
84	204
0	2
1	0
33	0
4	131
10	48
0	4
2	9
5	10
0	0
333	1
446	4
172	2
43	84
0	137
3	8
6	11
5	18
0	1
16	0
0	94
2	0
65	1
15	0
0	0
4	79
1	0
2	21
0	0
341	140
1	0
3	1
0	0
42	0
16	111
74	30
84	0
20	2
11	2
204	1
41	28
4	1
112	8
15	152
0	0
13	37
0	13
128	2
0	68
16	31
0	23
16	0
2	18
8	1
64	0
174	0
81	4
11	0
47	0
0	0
14	9
0	0
0	0
24	0
3	0
2	0
7	47
15	0
0	51
14	0
53	2
0	0
10	66
16	7
37	0
7	0
15	0
21	287
0	311
59	3
87	1
0	620
85	4
62	6
6	30
8	50
0	14
24	53
0	0
0	0
2	5
9	123
12	7
17	28
0	0
0	153
0	205
3	6
2	0
0	146
5	1
27	32
1	0
31	149
4	4
7	93
0	0
0	0
0	161
0	0
3	63
0	0
52	86
0	21
0	112
4	221
87	1
125	1
3	22
32	68
95	1
0	0
7	0
8	45
57	4
8	61
4	6
45	0
5	7
0	192
59	47
3	51
89	134
611	9
0	33
0	0
1	0
17	0
62	204
11	15
3	0
259	254
105	5
10	0
32	211
1	62
40	11
6	0
17	0
62	85
0	3
14	344
6	0
1333	116
0	5
0	70
12	0
90	0
2	31
0	0
28	56
0	0
5	115
30	8
124	125
5	34
345	612
0	0
26	152
0	9
5	1
0	1
4	82
66	0
2	0
98	288
0	138
14	185
0	1
4	12
0	0
6	28
21	12
11	46
31	0
278	2
0	27
16	56
0	0
91	195
0	1
100	150
125	4
0	41
185	517
1	0
35	3
19	0
33	1
61	0
29	12
55	31
87	1
225	7
23	215
0	0
10	4
10	82
479	5
132	1
114	1
3	46
42	0
33	49
0	7
6	0
69	6
8	6
0	3
0	0
114	0
16	13
142	3
5	20
13	13
15	18
19	0
7	135
5	11
4	8
42	0
3	0
15	2
4	4
1	141
213	1
0	0
2	0
0	0
386	67
34	19
27	72
63	1
0	143
2	0
14	4
0	0
68	1
4	0
0	0
3	0
