range	category	value
(0,2)	Carotenoids	1
(0,2)	Others	3
(0,2)	PFAM_P450	3
(0,2)	Alkaloids	3
(0,2)	Phenylpropanoids	1
(0,2)	PFAM_Transferases	1
(0,2)	Polyamines	0
(0,2)	PFAM_Methyltransferase	0
(0,2)	Flavonoids	0
(0,2)	Terpenoids	2
(0,2)	PFAM_Prenyltransferase	2
(0,2)	Isoprenoids	0
(0,2)	PFAM_Dioxygenase	0
(0,2)	Sulfur_containing	0
(0,2)	Aromatic_compounds	1
(0,2)	Cyanogenic_glucosides	0
(0,2)	Polyketides	1
(0,2)	PFAM_Oxidoreductase	0
(0,2)	Lignin	0
(0,2)	PFAM_Glycosyltransferase	2
(0,2)	Lignans	1
(0,2)	PFAM_Peptides	0
(-6,-4)	Carotenoids	0
(-6,-4)	Others	1
(-6,-4)	PFAM_P450	1
(-6,-4)	Alkaloids	6
(-6,-4)	Phenylpropanoids	0
(-6,-4)	PFAM_Transferases	0
(-6,-4)	Polyamines	0
(-6,-4)	PFAM_Methyltransferase	1
(-6,-4)	Flavonoids	3
(-6,-4)	Terpenoids	1
(-6,-4)	PFAM_Prenyltransferase	0
(-6,-4)	Isoprenoids	0
(-6,-4)	PFAM_Dioxygenase	1
(-6,-4)	Sulfur_containing	0
(-6,-4)	Aromatic_compounds	0
(-6,-4)	Cyanogenic_glucosides	0
(-6,-4)	Polyketides	1
(-6,-4)	PFAM_Oxidoreductase	1
(-6,-4)	Lignin	0
(-6,-4)	PFAM_Glycosyltransferase	2
(-6,-4)	Lignans	0
(-6,-4)	PFAM_Peptides	0
(-2,0)	Carotenoids	0
(-2,0)	Others	4
(-2,0)	PFAM_P450	3
(-2,0)	Alkaloids	2
(-2,0)	Phenylpropanoids	1
(-2,0)	PFAM_Transferases	1
(-2,0)	Polyamines	1
(-2,0)	PFAM_Methyltransferase	1
(-2,0)	Flavonoids	1
(-2,0)	Terpenoids	1
(-2,0)	PFAM_Prenyltransferase	0
(-2,0)	Isoprenoids	2
(-2,0)	PFAM_Dioxygenase	1
(-2,0)	Sulfur_containing	1
(-2,0)	Aromatic_compounds	0
(-2,0)	Cyanogenic_glucosides	0
(-2,0)	Polyketides	0
(-2,0)	PFAM_Oxidoreductase	2
(-2,0)	Lignin	1
(-2,0)	PFAM_Glycosyltransferase	1
(-2,0)	Lignans	0
(-2,0)	PFAM_Peptides	1
(2,4)	Carotenoids	3
(2,4)	Others	0
(2,4)	PFAM_P450	2
(2,4)	Alkaloids	4
(2,4)	Phenylpropanoids	0
(2,4)	PFAM_Transferases	1
(2,4)	Polyamines	0
(2,4)	PFAM_Methyltransferase	4
(2,4)	Flavonoids	5
(2,4)	Terpenoids	4
(2,4)	PFAM_Prenyltransferase	0
(2,4)	Isoprenoids	0
(2,4)	PFAM_Dioxygenase	3
(2,4)	Sulfur_containing	0
(2,4)	Aromatic_compounds	0
(2,4)	Cyanogenic_glucosides	0
(2,4)	Polyketides	0
(2,4)	PFAM_Oxidoreductase	0
(2,4)	Lignin	1
(2,4)	PFAM_Glycosyltransferase	0
(2,4)	Lignans	0
(2,4)	PFAM_Peptides	1
(4,6)	Carotenoids	0
(4,6)	Others	0
(4,6)	PFAM_P450	1
(4,6)	Alkaloids	1
(4,6)	Phenylpropanoids	1
(4,6)	PFAM_Transferases	0
(4,6)	Polyamines	0
(4,6)	PFAM_Methyltransferase	1
(4,6)	Flavonoids	1
(4,6)	Terpenoids	0
(4,6)	PFAM_Prenyltransferase	0
(4,6)	Isoprenoids	0
(4,6)	PFAM_Dioxygenase	0
(4,6)	Sulfur_containing	0
(4,6)	Aromatic_compounds	0
(4,6)	Cyanogenic_glucosides	1
(4,6)	Polyketides	0
(4,6)	PFAM_Oxidoreductase	0
(4,6)	Lignin	0
(4,6)	PFAM_Glycosyltransferase	1
(4,6)	Lignans	1
(4,6)	PFAM_Peptides	0
(-10,-8)	Carotenoids	0
(-10,-8)	Others	0
(-10,-8)	PFAM_P450	1
(-10,-8)	Alkaloids	0
(-10,-8)	Phenylpropanoids	0
(-10,-8)	PFAM_Transferases	0
(-10,-8)	Polyamines	0
(-10,-8)	PFAM_Methyltransferase	1
(-10,-8)	Flavonoids	0
(-10,-8)	Terpenoids	0
(-10,-8)	PFAM_Prenyltransferase	0
(-10,-8)	Isoprenoids	0
(-10,-8)	PFAM_Dioxygenase	0
(-10,-8)	Sulfur_containing	0
(-10,-8)	Aromatic_compounds	0
(-10,-8)	Cyanogenic_glucosides	0
(-10,-8)	Polyketides	0
(-10,-8)	PFAM_Oxidoreductase	1
(-10,-8)	Lignin	0
(-10,-8)	PFAM_Glycosyltransferase	0
(-10,-8)	Lignans	0
(-10,-8)	PFAM_Peptides	0
(-4,-2)	Carotenoids	2
(-4,-2)	Others	2
(-4,-2)	PFAM_P450	4
(-4,-2)	Alkaloids	2
(-4,-2)	Phenylpropanoids	2
(-4,-2)	PFAM_Transferases	2
(-4,-2)	Polyamines	0
(-4,-2)	PFAM_Methyltransferase	2
(-4,-2)	Flavonoids	0
(-4,-2)	Terpenoids	3
(-4,-2)	PFAM_Prenyltransferase	2
(-4,-2)	Isoprenoids	2
(-4,-2)	PFAM_Dioxygenase	1
(-4,-2)	Sulfur_containing	0
(-4,-2)	Aromatic_compounds	0
(-4,-2)	Cyanogenic_glucosides	0
(-4,-2)	Polyketides	6
(-4,-2)	PFAM_Oxidoreductase	1
(-4,-2)	Lignin	0
(-4,-2)	PFAM_Glycosyltransferase	2
(-4,-2)	Lignans	0
(-4,-2)	PFAM_Peptides	2
(-8,-6)	Carotenoids	0
(-8,-6)	Others	0
(-8,-6)	PFAM_P450	1
(-8,-6)	Alkaloids	0
(-8,-6)	Phenylpropanoids	0
(-8,-6)	PFAM_Transferases	1
(-8,-6)	Polyamines	1
(-8,-6)	PFAM_Methyltransferase	0
(-8,-6)	Flavonoids	0
(-8,-6)	Terpenoids	1
(-8,-6)	PFAM_Prenyltransferase	0
(-8,-6)	Isoprenoids	0
(-8,-6)	PFAM_Dioxygenase	3
(-8,-6)	Sulfur_containing	0
(-8,-6)	Aromatic_compounds	0
(-8,-6)	Cyanogenic_glucosides	0
(-8,-6)	Polyketides	1
(-8,-6)	PFAM_Oxidoreductase	0
(-8,-6)	Lignin	0
(-8,-6)	PFAM_Glycosyltransferase	0
(-8,-6)	Lignans	0
(-8,-6)	PFAM_Peptides	0
(-12,-10)	Carotenoids	0
(-12,-10)	Others	0
(-12,-10)	PFAM_P450	0
(-12,-10)	Alkaloids	0
(-12,-10)	Phenylpropanoids	0
(-12,-10)	PFAM_Transferases	0
(-12,-10)	Polyamines	1
(-12,-10)	PFAM_Methyltransferase	0
(-12,-10)	Flavonoids	0
(-12,-10)	Terpenoids	0
(-12,-10)	PFAM_Prenyltransferase	0
(-12,-10)	Isoprenoids	0
(-12,-10)	PFAM_Dioxygenase	0
(-12,-10)	Sulfur_containing	0
(-12,-10)	Aromatic_compounds	0
(-12,-10)	Cyanogenic_glucosides	0
(-12,-10)	Polyketides	0
(-12,-10)	PFAM_Oxidoreductase	0
(-12,-10)	Lignin	0
(-12,-10)	PFAM_Glycosyltransferase	0
(-12,-10)	Lignans	0
(-12,-10)	PFAM_Peptides	0
(12,14)	Carotenoids	0
(12,14)	Others	1
(12,14)	PFAM_P450	0
(12,14)	Alkaloids	0
(12,14)	Phenylpropanoids	0
(12,14)	PFAM_Transferases	0
(12,14)	Polyamines	0
(12,14)	PFAM_Methyltransferase	0
(12,14)	Flavonoids	0
(12,14)	Terpenoids	1
(12,14)	PFAM_Prenyltransferase	0
(12,14)	Isoprenoids	0
(12,14)	PFAM_Dioxygenase	0
