TXNAME,GENEID
DN_NonamEVm000005t1,DN_NonamEVm000005
DN_NonamEVm000005t3,DN_NonamEVm000005
DN_NonamEVm000021t1,DN_NonamEVm000021
DN_NonamEVm000021t2,DN_NonamEVm000021
DN_NonamEVm000021t4,DN_NonamEVm000021
DN_NonamEVm000021t5,DN_NonamEVm000021
DN_NonamEVm000045t1,DN_NonamEVm000045
DN_NonamEVm000045t3,DN_NonamEVm000045
DN_NonamEVm000045t4,DN_NonamEVm000045
DN_NonamEVm000079t1,DN_NonamEVm000079
DN_NonamEVm000079t2,DN_NonamEVm000079
DN_NonamEVm000079t5,DN_NonamEVm000079
DN_NonamEVm000079t8,DN_NonamEVm000079
DN_NonamEVm000134t1,DN_NonamEVm000134
DN_NonamEVm000134t2,DN_NonamEVm000134
DN_NonamEVm000134t3,DN_NonamEVm000134
DN_NonamEVm000134t4,DN_NonamEVm000134
DN_NonamEVm000145t1,DN_NonamEVm000145
DN_NonamEVm000145t3,DN_NonamEVm000145
DN_NonamEVm000145t4,DN_NonamEVm000145
DN_NonamEVm000294t1,DN_NonamEVm000294
DN_NonamEVm000354t1,DN_NonamEVm000354
DN_NonamEVm000519t1,DN_NonamEVm000519
DN_NonamEVm000519t2,DN_NonamEVm000519
DN_NonamEVm000548t2,DN_NonamEVm000548
DN_NonamEVm000548t3,DN_NonamEVm000548
DN_NonamEVm000548t4,DN_NonamEVm000548
DN_NonamEVm000548t6,DN_NonamEVm000548
DN_NonamEVm000548t7,DN_NonamEVm000548
DN_NonamEVm000575t2,DN_NonamEVm000575
DN_NonamEVm000575t3,DN_NonamEVm000575
DN_NonamEVm000578t1,DN_NonamEVm000578
DN_NonamEVm000598t1,DN_NonamEVm000598
DN_NonamEVm000598t2,DN_NonamEVm000598
DN_NonamEVm000598t3,DN_NonamEVm000598
DN_NonamEVm000611t1,DN_NonamEVm000611
DN_NonamEVm000621t1,DN_NonamEVm000621
DN_NonamEVm000647t1,DN_NonamEVm000647
DN_NonamEVm000681t1,DN_NonamEVm000681
DN_NonamEVm000681t2,DN_NonamEVm000681
DN_NonamEVm000681t3,DN_NonamEVm000681
DN_NonamEVm000681t4,DN_NonamEVm000681
DN_NonamEVm000681t5,DN_NonamEVm000681
DN_NonamEVm000681t6,DN_NonamEVm000681
DN_NonamEVm000695t1,DN_NonamEVm000695
DN_NonamEVm000695t2,DN_NonamEVm000695
DN_NonamEVm000786t2,DN_NonamEVm000786
DN_NonamEVm000786t4,DN_NonamEVm000786
DN_NonamEVm000797t1,DN_NonamEVm000797
DN_NonamEVm000797t6,DN_NonamEVm000797
DN_NonamEVm000797t7,DN_NonamEVm000797
DN_NonamEVm000887t2,DN_NonamEVm000887
DN_NonamEVm000887t3,DN_NonamEVm000887
DN_NonamEVm000887t5,DN_NonamEVm000887
DN_NonamEVm000887t6,DN_NonamEVm000887
DN_NonamEVm000900t1,DN_NonamEVm000900
DN_NonamEVm000900t4,DN_NonamEVm000900
DN_NonamEVm000900t5,DN_NonamEVm000900
DN_NonamEVm000900t7,DN_NonamEVm000900
DN_NonamEVm000900t8,DN_NonamEVm000900
DN_NonamEVm000934t1,DN_NonamEVm000934
DN_NonamEVm000934t2,DN_NonamEVm000934
DN_NonamEVm000934t3,DN_NonamEVm000934
DN_NonamEVm000939t4,DN_NonamEVm000939
DN_NonamEVm000939t5,DN_NonamEVm000939
DN_NonamEVm000939t6,DN_NonamEVm000939
DN_NonamEVm000939t7,DN_NonamEVm000939
DN_NonamEVm000939t8,DN_NonamEVm000939
DN_NonamEVm000946t1,DN_NonamEVm000946
DN_NonamEVm000967t1,DN_NonamEVm000967
DN_NonamEVm000967t2,DN_NonamEVm000967
DN_NonamEVm000967t4,DN_NonamEVm000967
DN_NonamEVm000967t7,DN_NonamEVm000967
DN_NonamEVm000967t9,DN_NonamEVm000967
DN_NonamEVm001045t1,DN_NonamEVm001045
DN_NonamEVm001045t3,DN_NonamEVm001045
DN_NonamEVm001045t4,DN_NonamEVm001045
DN_NonamEVm001045t5,DN_NonamEVm001045
DN_NonamEVm001045t6,DN_NonamEVm001045
DN_NonamEVm001045t7,DN_NonamEVm001045
DN_NonamEVm001045t8,DN_NonamEVm001045
DN_NonamEVm001045t9,DN_NonamEVm001045
DN_NonamEVm001054t1,DN_NonamEVm001054
DN_NonamEVm001077t1,DN_NonamEVm001077
DN_NonamEVm001077t2,DN_NonamEVm001077
DN_NonamEVm001077t3,DN_NonamEVm001077
DN_NonamEVm001077t5,DN_NonamEVm001077
DN_NonamEVm001077t6,DN_NonamEVm001077
DN_NonamEVm001077t7,DN_NonamEVm001077
DN_NonamEVm001077t8,DN_NonamEVm001077
DN_NonamEVm001077t9,DN_NonamEVm001077
DN_NonamEVm001155t1,DN_NonamEVm001155
DN_NonamEVm001155t2,DN_NonamEVm001155
DN_NonamEVm001155t3,DN_NonamEVm001155
DN_NonamEVm001155t4,DN_NonamEVm001155
DN_NonamEVm001155t6,DN_NonamEVm001155
DN_NonamEVm001155t7,DN_NonamEVm001155
DN_NonamEVm001155t8,DN_NonamEVm001155
DN_NonamEVm001155t9,DN_NonamEVm001155
DN_NonamEVm001188t1,DN_NonamEVm001188
DN_NonamEVm001188t2,DN_NonamEVm001188
DN_NonamEVm001188t3,DN_NonamEVm001188
DN_NonamEVm001188t4,DN_NonamEVm001188
DN_NonamEVm001188t5,DN_NonamEVm001188
DN_NonamEVm001188t7,DN_NonamEVm001188
DN_NonamEVm001188t9,DN_NonamEVm001188
DN_NonamEVm001248t1,DN_NonamEVm001248
DN_NonamEVm001248t2,DN_NonamEVm001248
DN_NonamEVm001248t3,DN_NonamEVm001248
DN_NonamEVm001248t4,DN_NonamEVm001248
DN_NonamEVm001248t5,DN_NonamEVm001248
DN_NonamEVm001248t7,DN_NonamEVm001248
DN_NonamEVm001260t1,DN_NonamEVm001260
DN_NonamEVm001260t4,DN_NonamEVm001260
DN_NonamEVm001260t5,DN_NonamEVm001260
DN_NonamEVm001260t7,DN_NonamEVm001260
DN_NonamEVm001260t8,DN_NonamEVm001260
DN_NonamEVm001265t1,DN_NonamEVm001265
DN_NonamEVm001286t1,DN_NonamEVm001286
DN_NonamEVm001297t3,DN_NonamEVm001297
DN_NonamEVm001297t4,DN_NonamEVm001297
DN_NonamEVm001322t1,DN_NonamEVm001322
DN_NonamEVm001322t2,DN_NonamEVm001322
DN_NonamEVm001322t3,DN_NonamEVm001322
DN_NonamEVm001344t1,DN_NonamEVm001344
DN_NonamEVm001344t2,DN_NonamEVm001344
DN_NonamEVm001344t3,DN_NonamEVm001344
DN_NonamEVm001344t4,DN_NonamEVm001344
DN_NonamEVm001352t1,DN_NonamEVm001352
DN_NonamEVm001352t2,DN_NonamEVm001352
DN_NonamEVm001352t3,DN_NonamEVm001352
DN_NonamEVm001352t4,DN_NonamEVm001352
DN_NonamEVm001352t5,DN_NonamEVm001352
DN_NonamEVm001352t6,DN_NonamEVm001352
DN_NonamEVm001352t8,DN_NonamEVm001352
DN_NonamEVm001352t9,DN_NonamEVm001352
DN_NonamEVm001370t2,DN_NonamEVm001370
DN_NonamEVm001370t3,DN_NonamEVm001370
DN_NonamEVm001370t4,DN_NonamEVm001370
DN_NonamEVm001387t4,DN_NonamEVm001387
DN_NonamEVm001396t1,DN_NonamEVm001396
DN_NonamEVm001396t2,DN_NonamEVm001396
DN_NonamEVm001396t3,DN_NonamEVm001396
DN_NonamEVm001396t5,DN_NonamEVm001396
DN_NonamEVm001403t1,DN_NonamEVm001403
DN_NonamEVm001403t2,DN_NonamEVm001403
DN_NonamEVm001403t3,DN_NonamEVm001403
