TXNAME,GENEID
DN_NonamEVm000001t1,DN_NonamEVm000001
DN_NonamEVm000001t2,DN_NonamEVm000001
DN_NonamEVm000001t3,DN_NonamEVm000001
DN_NonamEVm000111t1,DN_NonamEVm000111
DN_NonamEVm000111t2,DN_NonamEVm000111
DN_NonamEVm000111t3,DN_NonamEVm000111
DN_NonamEVm000111t4,DN_NonamEVm000111
DN_NonamEVm000111t6,DN_NonamEVm000111
DN_NonamEVm000111t7,DN_NonamEVm000111
DN_NonamEVm000111t8,DN_NonamEVm000111
DN_NonamEVm000111t9,DN_NonamEVm000111
DN_NonamEVm000437t5,DN_NonamEVm000437
DN_NonamEVm000437t6,DN_NonamEVm000437
DN_NonamEVm000437t7,DN_NonamEVm000437
DN_NonamEVm000488t1,DN_NonamEVm000488
DN_NonamEVm000488t2,DN_NonamEVm000488
DN_NonamEVm000488t3,DN_NonamEVm000488
DN_NonamEVm000488t4,DN_NonamEVm000488
DN_NonamEVm000488t7,DN_NonamEVm000488
DN_NonamEVm000488t8,DN_NonamEVm000488
DN_NonamEVm000488t9,DN_NonamEVm000488
DN_NonamEVm000577t1,DN_NonamEVm000577
DN_NonamEVm000577t2,DN_NonamEVm000577
DN_NonamEVm000590t2,DN_NonamEVm000590
DN_NonamEVm000591t1,DN_NonamEVm000591
DN_NonamEVm000645t1,DN_NonamEVm000645
DN_NonamEVm000645t2,DN_NonamEVm000645
DN_NonamEVm000655t3,DN_NonamEVm000655
DN_NonamEVm000655t6,DN_NonamEVm000655
DN_NonamEVm000655t8,DN_NonamEVm000655
DN_NonamEVm000675t1,DN_NonamEVm000675
DN_NonamEVm000675t2,DN_NonamEVm000675
DN_NonamEVm000675t4,DN_NonamEVm000675
DN_NonamEVm000694t1,DN_NonamEVm000694
DN_NonamEVm000694t5,DN_NonamEVm000694
DN_NonamEVm000737t1,DN_NonamEVm000737
DN_NonamEVm000737t2,DN_NonamEVm000737
DN_NonamEVm000737t4,DN_NonamEVm000737
DN_NonamEVm000737t7,DN_NonamEVm000737
