UniqueCount	AmbigCount
1451	481
0	0
203	3
45	137
0	22
36	0
6	58
0	4899
1	0
2	764
5	0
191	1221
140	449
231	160
657	0
46	0
10	80
86	334
0	0
3402	0
0	0
454	6
1	0
0	1286
2152	0
1049	1147
1089	882
8	547
64	1544
0	0
2651	0
51	80
13	406
0	0
0	0
7	6
2273	0
0	0
1063	0
1	0
920	278
722	5007
0	0
0	0
0	0
1010	0
1217	389
13	1
47	0
301	735
1	0
2	46
61	1558
4	0
0	0
1882	6
0	4
1832	0
0	3200
212	247
9	33
0	0
0	6758
0	1
49	0
0	0
0	669
379	0
20	9
9	143
974	929
1	902
48	0
0	409
782	0
0	0
61	363
52	0
0	0
90	1213
34	688
0	0
82	3196
5	543
19	2097
492	4131
392	0
43	4212
15	0
0	0
1547	1
737	0
0	0
48	2793
754	1299
295	275
0	0
4	2284
1	0
11	0
22	0
8	603
9	0
55	961
559	851
256	4873
0	0
0	0
116	913
5	0
0	2706
0	0
0	4
47	427
5	27
14	38
685	0
243	0
1126	0
164	540
27	528
80	446
245	3751
0	0
57	43
94	133
0	685
7	2351
1	1254
870	471
329	2233
52	154
3708	3
1671	0
193	2355
1390	650
60	2331
2	0
42	138
5	886
16	907
0	0
6	0
715	694
49	221
340	0
0	0
162	1929
411	0
184	0
1807	0
43	294
7	233
363	328
116	632
1	10
0	4
181	2415
0	0
0	0
0	0
12	114
1	50
4	59
0	0
3	1268
10	117
19	115
175	0
30	130
236	700
0	0
450	0
946	0
18	20
31	73
1	0
7	2
0	1728
0	79
30	112
11	52
1	312
0	0
720	4067
361	87
132	0
0	699
375	0
38	363
126	0
2017	0
0	0
5	383
6	1170
32	407
522	589
56	0
109	632
210	1
181	790
363	0
345	1366
455	1241
1497	0
7559	4
177	1268
11	2677
1004	239
169	3658
302	0
62	0
562	763
7	4
4	0
0	957
34	0
0	1331
1143	649
3	0
0	1086
11	118
16	1489
34	582
514	6049
6	0
73	341
2	117
173	1707
155	0
0	0
21	714
103	3233
1259	0
117	1600
12	1179
0	0
7	0
0	20
0	2051
0	1975
0	0
382	0
826	1
0	5
135	210
1	373
0	0
7	0
1	308
1281	0
61	19
3536	1558
0	0
42	0
392	0
22	1325
1458	6188
0	254
233	731
4	0
0	0
1	0
0	390
1	1364
4	18
2	1
23	260
48	7
2893	9
51	7
283	0
1524	0
0	0
32	158
0	0
94	764
7	1
569	1120
2	1
66	18
66	123
57	2162
45	1
17	1151
26	0
0	14
0	1
442	527
4	770
25	2753
16	1855
0	0
6	19
0	0
81	982
4	703
0	0
203	261
96	380
0	801
1329	0
139	235
0	19218
9113	311911
0	1651
1145	895
269	4142
83	0
5	0
69	115
14	410
94	46
1494	287
929	9499
204	1296
0	0
7	2
3881	1
443	2928
6	77
299	0
17	719
327	1123
33	0
21	58
207	4
39	88
80	4
216	5279
34	374
160	0
27	938
0	0
73	294
794	0
352	0
64	370
0	0
0	1362
28	0
707	717
0	0
2	0
83	1926
171	0
7	36
657	3312
296	0
0	0
2377	2
5	834
580	1614
2693	1432
1	81
8307	10
455	9
10	0
1	0
0	0
0	0
18	18
0	0
0	2
1948	0
0	6
6758	1
1681	4
20	4
5	0
14	1028
1556	0
82	241
4	1717
11	22
7	2
40	329
0	10
11	27
0	0
63	1
227	0
173	0
3	0
39	1342
70	289
33	0
3	582
55	287
247	0
503	409
40	1092
999	0
0	313
1929	0
0	0
2	0
621	340
42	214
1357	0
3	227
1598	0
32	191
0	543
1206	0
0	0
7	0
1	0
92	709
2928	0
81	58
1047	0
6	872
5	0
17	0
5	5000
77	104
0	0
0	222
44	637
0	709
338	228
11	11
10	3
3	8
640	0
378	602
22	10
4	105
98	539
17	0
93	227
50	0
938	0
0	0
0	0
30	71
107	792
58	61
9	2
22	0
8	0
196	305
1023	3670
2079	3
56	1975
1737	0
0	0
47	900
7	152
8	0
19	0
205	1
2	10
1195	5886
2198	1
16	0
41	0
5	0
4	0
58	3
304	4127
5	2415
1	1
0	0
0	0
391	866
0	0
132	1654
16966	7490
270	85
0	0
588	968
558	366
0	0
2293	0
0	0
547	5616
29	21
0	0
84	0
689	0
7	0
0	0
97	532
22	1220
9	0
1084	0
18	1008
0	0
48	52
11	0
124	319
30	319
0	1
36	42
0	0
0	541
526	461
896	1
285	237
73	3544
499	1234
582	0
0	0
108	0
290	562
74	540
2	0
