UniqueCount	AmbigCount
240	72
1	2
118	3
0	0
0	0
10	0
18	69
0	1522
0	0
0	62
0	0
19	113
39	98
62	34
124	1
0	0
0	0
15	43
3	0
409	14
1	40
18	0
5	0
0	311
297	3
33	56
191	310
3	82
10	300
0	18
398	16
2	23
0	13
0	1
0	0
0	0
860	10
0	3
166	4
0	0
8	7
25	529
58	0
5	34
0	0
147	1
279	42
0	0
0	0
13	50
0	0
0	13
9	85
20	0
5	0
212	5
0	0
227	5
0	571
42	46
1	1
0	0
0	0
0	61
15	0
0	3
0	45
40	0
14	5
0	32
27	47
0	101
10	0
4	90
143	3
3	0
13	39
3	0
5	0
16	214
0	70
0	0
12	441
15	330
0	58
47	225
111	1
1	551
3	0
8	0
349	8
109	4
0	0
0	324
129	275
8	8
0	0
2	661
1	8
0	0
3	0
1	152
3	0
3	179
7	7
66	975
2	5
1	0
70	348
181	1
0	578
4	0
0	2
1	1
0	3
13	19
158	2
36	0
27	1
2	7
4	63
11	93
61	664
103	4
13	26
7	30
0	1140
6	593
0	41
159	68
57	358
6	16
357	5
322	2
25	180
227	108
2	418
5	0
0	0
0	13
0	81
11	32
1	3
114	56
0	8
12	12
0	2
54	361
43	0
6	0
112	2
0	0
0	21
43	43
0	45
0	0
0	5
13	293
0	0
0	0
0	0
0	33
1	6
0	7
0	0
5	121
9	47
1	47
8	0
3	18
58	103
0	3
142	1
127	1
44	36
0	0
0	0
1	0
0	337
0	6
0	0
0	1
0	82
0	2
79	691
1	2
3	0
0	60
56	0
3	17
11	0
528	3
4	0
1	44
0	90
9	54
16	103
2	0
10	156
50	5
24	73
10	0
30	135
103	127
221	1
1535	13
81	74
8	580
88	72
14	239
41	0
1	0
82	146
0	2
31	0
0	91
18	0
0	264
158	57
2	0
0	91
4	40
1	97
0	114
167	1757
19	0
3	2
0	5
25	220
93	1
13	1
5	110
1	107
101	0
13	314
4	139
0	0
2	0
0	0
0	281
0	451
4	2
4	0
102	2
0	189
1	2
1	85
0	0
0	0
3	117
101	3
11	4
313	116
1	19
0	0
42	1
0	119
87	283
0	72
40	93
20	0
17	0
0	15
0	102
0	388
4	4
0	0
5	23
8	3
132	5
0	0
85	1
203	0
1	0
8	52
4	0
9	57
1	0
81	207
4	0
2	0
13	26
0	373
5	0
5	191
3	0
0	0
0	10
83	87
0	201
0	462
1	430
2	2
4	3
0	6
10	133
0	77
7	0
2	0
38	126
0	45
177	1
3	45
0	3525
79	34517
0	525
174	151
55	773
3	0
0	0
14	51
0	34
20	9
195	21
19	1482
3	287
1	0
0	0
24	0
124	626
0	0
68	1
5	37
84	166
8	1
3	6
19	3
0	5
7	3
4	388
0	0
26	0
1	102
7	1
0	45
57	0
45	1
7	46
5	0
0	241
0	0
112	83
0	2
0	0
0	136
2	0
0	2
28	613
0	0
0	0
285	4
3	282
117	308
589	106
0	2
1392	16
43	7
5	0
2	1
3	5
7	2
6	11
4	14
4	1
630	6
0	1
710	5
371	2
9	1
15	0
0	45
217	6
51	385
1	495
7	6
0	0
0	15
1	3
3	5
7	2
18	2
2	0
5	0
0	0
3	111
4	38
2	0
8	65
14	75
2	0
32	95
20	77
883	12
0	114
422	12
34	0
0	0
125	28
14	89
133	1
0	6
166	5
16	46
0	90
228	4
0	0
3	0
0	0
6	27
660	6
2	0
222	0
1	100
0	0
12	0
0	634
38	37
