UniqueCount	AmbigCount
8671	1487
61	250
5	0
305	18
163	264
53	50
0	0
287	1966
0	1
3	0
198	0
5	0
8	0
33	144
5582	0
4	5445
0	0
0	657
0	0
0	3696
23	9
4	142
495	0
0	0
0	6073
6015	0
3	9620
0	0
386	1130
75	5094
204	0
124	320
0	0
699	652
65	341
997	1
4	2003
6	1
190	24
14	537
491	2184
15	0
61	1145
35	7
4	0
1	7
39	901
212	4596
298	408
0	0
2	0
0	2
0	0
25	1
0	0
58	357
0	0
62	0
248	546
24	364
0	0
13	886
15	37
35	884
6	1642
4	0
210	423
940	0
0	0
316	0
496	2050
1	227
0	0
1859	0
0	1110
1613	0
3395	0
73	3
22	457
154	2179
75	107
16	22
596	590
28	637
477	2490
682	147
45	25
109	1
16	1
27	1468
86	0
7	6
118	132
0	2947
19	0
362	194
2911	0
7	0
369	8887
16	0
35	51
39	0
1693	243
33	582
269	1071
45	2
2478	0
1	62
101	509
0	22
5	3637
123	0
1056	0
6921	0
6	12
661	492
16	123
70	3787
2	557
3	482
1	0
940	10104
0	443
0	210
1	0
0	0
1	0
4	0
355	2239
2871	724
4	0
1175	0
24	11761
682	390
4	86
372	16
523	0
5081	0
0	340
58	1527
829	1248
1	0
18	493
3	1
313	2275
2	91
0	0
7007	2
4	26
0	0
335	0
0	0
3085	0
37	55
659	0
881	0
4	502
0	0
1133	3340
237	162
141	0
20	398
0	70
243	0
1	1
0	0
9	1389
0	0
12	0
1	12
0	9
999	2743
8	0
0	1242
9	5
89	0
4098	480
7	0
8	0
404	0
3	0
3	0
0	0
2	0
3180	0
140	5051
40	1
16	0
0	0
225	2400
400	0
0	0
0	0
234	978
21	0
3	8
706	0
366	348
13	0
277	134
140	78
53	3024
50	0
0	3
131	682
3	12
20	170
715	0
202	2702
317	15
99	11
11	92
102	99
0	210
4	4
4	15
9	2509
1510	1
41	0
0	326
32	392
374	36561
198	245
43	0
104	0
2	4
7038	1
0	0
0	40
21	2887
13	0
94	1624
503	311
493	0
75	6764
6	0
0	1
0	0
33	0
19	0
191	2871
2	3
10	1684
146	3147
883	0
64	4
0	0
1	0
1	0
12	3
95	693
0	0
1	0
0	0
179	573
0	0
2	0
0	0
2	0
65	11
247	64
21	0
62	0
60	2
262	2679
440	0
1	3688
0	1
107	628
1692	0
157	725
0	349
1052	1603
293	293
4	28
1369	0
3	1478
500	0
2	0
101	2528
1706	0
93	0
56	3356
0	0
249	0
462	0
1110	660
921	0
81	864
693	0
100	553
0	1116
0	0
908	3
103	3
607	11939
3	0
454	3141
345	0
0	1774
153	483
90	0
176	13340
0	0
221	27385
32	696
340	0
0	149
2195	0
83	0
127	849
467	0
0	0
945	701
267	44
59	4
189	233
210	4535
137	94
0	1
0	4
1	1221
5	0
223	1252
29	0
0	3267
0	0
0	0
109	262
808	0
43	268
107	190
410	279
156	2969
320	0
3	0
1	0
703	0
0	4149
87	513
19	23
35	2320
1641	82
79	2
45	0
1	0
45	8
20	10
1	0
16	2
1688	0
105	36
0	0
0	0
70	32
98	159
0	0
0	0
41	55
1756	4134
17	0
0	0
73	1392
24	0
8	0
0	0
0	58
43	100
393	861
102	6
2	0
12	0
32	2
0	0
457	1
0	65
0	1
6	14
9	1
0	1241
0	0
22	1
26	0
0	2188
11	130
2629	0
0	0
596	7160
49	7
5	12
562	0
0	0
1718	229
9	0
0	1306
2	1
0	3655
8	3
15	1826
0	7
2409	1141
4135	1
25	0
391	180
2	3
85	0
80	800
379	0
204	5
345	0
102	5
1069	7
369	7
561	0
170	0
729	0
0	0
17	4
14	182
0	0
5	0
293	169
21	5
931	380
0	19325
2020	153
511	2822
22	498
93	9
0	0
3118	0
10	37
45	35
11	23
0	0
35	5191
1272	0
0	0
55	920
61	102
19	989
303	36
0	815
0	0
2251	0
0	1818
0	0
16	1038
9	14
1232	0
0	4
285	2555
0	1
197	1128
0	1
1235	0
20	0
0	0
513	3
24530	2
10973	0
0	2984
35	0
1	0
1057	0
289	0
1	1368
35	0
0	108
19	5
22	5
4738	2780
24	17
341	1297
6785	1
0	573
10	1579
310	0
96	964
47	27
2	0
0	0
129	2213
2	0
2	0
442	0
14	30
216	0
2281	0
0	0
487	0
150	0
1173	0
4	0
140	0
0	0
663	1807
422	0
0	2492
