UniqueCount	AmbigCount
4697	1410
43	206
14	7
55	0
40	900
17	83
0	13
64	437
0	0
0	0
3	0
1	0
0	0
16	88
2274	2
0	68
0	0
1	470
0	0
0	2961
0	5
5	57
195	1
0	0
0	2205
9919	1
9	3929
0	0
206	497
346	7179
155	0
45	125
0	0
680	279
15	143
522	1
1	862
2	0
45	11
2	101
165	667
0	0
23	477
7	1
1	0
0	0
0	305
34	2342
13	2
0	0
3	0
0	0
0	0
4	1
0	0
4	85
0	0
11	0
85	92
6	93
0	0
5	279
0	1
22	708
10	1989
3	0
16	61
458	0
0	0
187	0
227	926
0	72
0	0
797	0
0	118
815	0
1316	0
11	2
94	930
113	1002
4	2
2	3
139	383
3	286
58	277
312	61
8	6
35	0
11	0
9	427
3003	1
0	0
8	27
0	1151
6	0
490	163
1413	2
0	0
102	4452
1	0
36	37
0	0
827	98
19	258
298	907
10	1
980	0
0	64
43	277
4	196
3	1912
14	0
167	1
20297	18
1	5
213	245
5	33
15	3583
10	442
3	382
0	0
36	6151
0	336
0	22
0	0
0	0
0	0
0	0
96	1409
1505	418
0	0
299	0
4	4657
629	268
0	107
432	9
235	0
2217	0
0	11
8	531
217	336
0	0
0	293
2	0
87	759
0	14
0	0
1322	2
2	6
0	0
91	0
0	0
902	1
2	2
339	0
450	0
1	334
0	0
423	911
60	123
92	0
4	142
0	1
13	0
0	0
0	0
4	455
0	0
0	0
0	0
0	0
600	2610
1	0
0	384
12	3
50	1
3142	537
1	0
3	0
139	0
1	0
2	0
1	1
0	1
749	1
73	2129
2	0
4609	16
15	28
94	719
131	0
0	0
0	0
48	334
4	0
0	2
407	0
178	146
58	0
191	75
2	3
44	893
13	0
0	0
77	384
0	2
17	22
358	0
54	1107
146	9
8	2
36	44
10	40
0	99
0	0
1	0
2	523
616	0
15	0
0	111
13	109
189	33809
136	64
970	0
170	0
0	0
4362	1
0	0
0	791
23	2164
0	0
86	1057
283	103
53	0
22	1792
0	0
0	2
0	0
11	0
1	0
92	1260
2	1
0	676
31	914
121	0
3	0
0	0
24	0
13	0
1	1
13	85
0	0
0	0
68	209
8	39
0	0
10	0
0	0
0	0
0	0
78	47
3	0
41	0
15	0
172	1914
889	2
0	1292
0	0
0	51
779	1
99	177
0	77
702	1191
155	156
8	71
697	2
2	3182
236	0
0	0
27	951
955	2
20	0
12	1610
0	0
186	2
1424	0
336	386
480	0
22	280
31	0
17	139
0	376
0	0
498	0
36	0
190	4616
0	0
363	1552
157	0
0	1890
109	260
17	0
155	9578
0	0
148	11731
3	267
129	0
0	35
996	1
104	1
42	679
169	0
0	0
415	310
152	27
17	1
132	169
81	1016
170	127
0	1
30	54
2	491
2	0
112	959
9	0
1	1209
0	0
0	0
184	189
429	0
12	130
35	101
164	176
296	1683
93	0
0	0
0	0
576	0
0	1094
29	248
6	19
7	1596
675	11
72	2
75	0
0	0
21	5
7	3
0	0
3	5
605	1
9	6
22	2
0	0
13	11
10	74
1	0
0	0
12	44
752	1872
2	0
0	0
14	167
6	0
9	0
0	0
0	64
17	10
157	414
32	5
0	0
2	0
7	1
0	0
189	1
44	164
0	0
0	1
0	0
55	600
0	0
1	0
9	1
0	649
19	131
246	1
0	0
345	2589
8	1
0	0
190	0
0	0
993	177
3	0
0	676
1	0
0	1326
2	1
6	633
0	4
1539	700
1627	1
5	0
104	167
0	1
2	0
48	328
745	2
106	3
183	0
28	3
460	1
91	0
398	0
141	1
306	0
0	0
3	0
12	314
0	0
2	1
137	125
0	0
476	176
0	6859
2317	182
411	2907
15	487
27	4
0	0
1083	2
1	3
10	6
2	4
0	0
19	1064
983	1
0	0
302	3509
6	24
6	416
55	14
0	343
0	0
1210	2
0	699
1	0
7	680
0	0
390	0
0	0
231	868
0	1
34	342
1	0
693	0
1	0
0	0
1351	2
12795	7
8038	3
0	1827
2	0
0	0
361	0
86	0
0	462
3	0
0	115
16	1
8	1
2097	1089
11	5
143	354
2157	4
0	243
3	826
139	0
38	587
7	2
0	0
0	0
75	856
3	0
0	0
66	0
12	11
187	0
862	3
0	0
486	0
42	0
779	1
0	0
59	0
0	0
272	853
133	0
0	1387
380	3
3185	0
0	0
0	0
119	563
3	6
1	0
13	0
1	17
0	16
0	17
9	422
5	29
3	1
23321	22
1690	1
433	648
160	0
290	2888
382	0
14	18
91	0
0	0
18	0
10	0
7	267
1950	1069
1	0
10	452
24	0
5	0
0	3
109	0
3	0
1	0
0	0
0	0
0	0
1212	3
1	0
194	1143
80	30
14	0
260	0
0	0
0	0
6	227
6	549
0	0
7	0
2	0
3	102
0	0
43	0
2	0
0	16
8	384
21	22
273	272
0	24
7984	9
0	0
0	0
4	0
0	0
44	478
105	0
2	33
0	90
0	0
1	0
219	303
59	0
0	0
416	0
543	1
116	3
164	699
2	10
14	0
0	0
341	0
1	10
0	448
98	108
1094	1
114	1730
22	4
523	626
0	0
102	178
19	299
4	64
15	0
39	437
0	284
130	662
0	0
0	217
0	0
0	0
0	298
0	0
140	1119
0	0
158	59
78	660
6065	10
359	9
0	0
16	17
280	0
3813	0
2667	3
662	2
920	1499
24	0
1	361
0	701
4	0
5	979
2491	1277
86	0
822	0
12	841
58	2983
0	0
220	1528
142513	91
247	497
288	0
0	0
4581	3
0	0
12	63
0	0
0	163
0	12
31	3
6	6
0	7
16	112
14	734
55	0
177	1203
596	329
441	0
44	0
182	405
500	0
0	0
0	0
2	0
99	7131
1	0
0	0
0	0
0	8
69	322
3083	4
226	73
1	0
1052	1
13	12
19	23
20	4
32117	28
285	1
0	0
1304	0
488	198
30	2060
33	0
23	5734
0	0
3	5496
198	1083
2	0
209	50
377	0
0	6
0	0
0	0
1085	1488
0	11
2	49
0	0
36	0
0	0
0	0
0	0
0	0
0	0
2	0
18	36
0	304
18	497
0	0
47	586
0	0
1	31
0	0
3	7
0	0
6	45
135	44
63	841
1041	401
656	0
4114	7
204	1344
0	1695
729	0
4224	0
0	26
2	4
0	146
0	0
7213	6
394	0
0	57
71	0
0	0
0	0
3	1
1896	1
1	0
8	0
9	0
55	306
24	0
14	0
109	0
0	0
0	0
60	306
195	512
294	0
4	20
11	228
0	0
340	539
149	1
0	0
7	3
0	0
2	14
0	0
1	0
1203	2
0	0
2	0
5385	3
1	16
0	7
9	0
0	0
5	257
3	0
0	211
3	15
7	3
266	0
3	0
22	203
0	106
901	0
0	28
1640	3
1	0
0	382
0	0
5	36
0	786
2	0
0	0
9	0
5	590
7	0
0	0
0	0
0	0
4	0
0	3
0	0
1	2
89	39
9	0
2458	1
0	0
336	45
952	46
0	410
141	0
1688	1
5	8
604	0
0	493
1927	2
0	0
346	0
6	440
44	0
3	0
0	0
47	0
0	0
0	0
15	0
1	0
0	0
14	283
0	4
1	35
4	0
3390	6451
13	2
0	0
0	0
0	0
0	0
44	391
0	959
181	0
1687	0
1	12
0	0
1	0
0	0
510	1204
1	157
0	1
1	0
0	0
123	0
0	668
1	11
1	0
0	545
70	5060
1274	313
274	2468
9	14
2122	1459
2091	3169
558	11
3	0
190	1
37	0
3	1147
5	0
6	19
53	530
0	0
1	18
52	151
313	0
106	359
0	0
0	4
0	0
14	0
174	4215
0	0
0	0
0	0
30	1211
16	74
109	1365
0	0
71	456
11	26
351	0
2188	2
47	293
18	0
10	156
775	6334
158	1425
3	390
24	1
57	1631
5	483
389	0
570	2
335	0
0	63
5	0
64	1
7	31
0	27
0	0
7	139
33	0
4	4
4	0
715	1
0	0
14	847
18	453
13	49
41	9
2	0
6	0
1	5
4	16
21	0
0	0
0	403
28	1
0	100
0	6
0	1863
448	0
19	295
1139	3
59	1626
0	0
0	93
10	80
550	0
0	0
2	2
276	367
11	1427
0	0
9	0
531	1
233	0
0	3543
0	0
47	0
55	1401
2	13
34	1195
0	0
0	1650
0	0
0	0
0	23
1	0
0	0
40	223
967	1705
8	471
447	3396
42	598
0	11729
225	0
157	0
261	325
203	0
0	0
25	90
601	0
29	1
11	1
6	7
6	52
4	2
0	0
134	808
0	0
119	238
0	0
1	0
0	6
0	0
16	1560
48	521
2	10
37	102
4	0
11	1
687	5113
162	266
37	57
280	280
88	1213
3	109
0	10
11	169
0	0
0	1
2	0
124	229
119	674
36	444
2621	2
412	0
0	0
402	0
163	1390
0	965
2533	2
12	0
3134	0
847	0
147	21
0	2529
33	2
0	0
10	2
3	220
13403	9
33	866
37	213
52	11
54	0
0	0
2	56
14	983
0	127
0	0
4	313
421	5435
6	0
0	0
0	0
4	2
0	0
265	241
0	0
28	85
5	0
45	2
128	145
0	0
18	247
15	39
0	0
0	414
0	115
1	130
10	2
2	0
1455	4
19	0
91	59
124	0
2230	1301
2	59
4	0
1509	1
44	608
8822	15285
6	0
0	45
362	71
2771	15642
1	15043
7	107
2329	3
13	106
26	0
0	0
1	1
7	0
0	0
25	205
0	112
123	1746
0	0
7	4876
13	774
0	0
417	0
739	0
0	1
3	0
739	0
555	449
0	0
0	0
7	7
0	0
0	0
65	2573
618	0
1	10
31	9
0	78
15	14
1	0
0	0
0	176
0	0
1	177
46	0
73	0
0	0
2	0
0	774
12	3
0	1377
44	3
8	0
0	41
9	2
3	0
390	1
185	0
9	12
0	0
0	631
0	0
255	0
154	381
61	806
5	49
595	381
0	819
1	306
2956	179
0	0
9	5
6	1435
0	0
0	0
0	0
847	12
339	2222
0	0
0	9
68	3638
1	137
0	0
1406	2911
267	0
3	24
0	0
0	0
68	48
129	3391
2	1
10	1757
1251	1158
1	1
176	609
95	0
25	265
0	244
0	0
0	392
67	424
9	2596
300	1
2	101
9	2
0	0
40	594
0	0
1034	1
0	18
0	0
5	255
1	5
0	1
39	305
243	0
0	0
17	290
4	0
469	0
4	0
0	0
0	0
9	134
102	1206
0	2
0	0
201	67
2134	2
226	74
42	142
0	0
0	0
3	5
227	5576
0	94
0	0
7908	9743
263	163
0	1
19	803
0	0
0	0
5	307
16	4411
0	185
114	63
19	9
62	0
601	8
2	0
3	11
1001	31
15673	10
8	0
256	0
0	0
25	176
0	2
0	830
0	20
224	0
7	0
26	722
32	0
85	713
3	22
0	0
3	579
137	272
0	3
0	0
0	0
30	733
238	575
0	1028
5	0
293	2022
25	1216
74	0
72	44
3	1
5	131
1	0
0	2389
0	0
69	712
17	0
3	20
143	1933
213	347
4	71
0	267
0	147
0	0
4	3
130	607
5	941
9	0
425	0
27	0
5	0
34	6
58	417
1	0
0	678
74	0
1	43
0	0
786	275
0	249
0	147
110	207
73	1921
0	0
0	0
0	1274
61	126
44	0
124	611
114	155
0	0
46	787
2	14
1	0
22	0
1164	1
0	0
35	951
0	3034
13	1035
0	0
0	1
841	1
0	0
61	1282
94	1453
2745	1
10	1
0	0
1782	3
1	0
2	39
27	578
870	1
175	518
0	224
2	0
0	327
169	120
1094	1
0	0
1	0
26	5
38	257
33	2693
71	0
0	0
32	531
680	2
142	648
355	1
1	0
0	140
522	0
0	0
172	0
185	1072
1	53
24	581
20	0
0	0
6	10
0	3
9	0
6	8
1	1
0	0
16139	4614
19	26
0	0
0	175
5748	4612
58	0
273	0
108	1
1	0
65	1249
0	0
9	949
864	2
1	61
55	0
25	2
677	69
0	0
1	71
580	3
354	0
5	0
7	0
36	0
183	0
4	154
18	0
0	0
0	0
0	0
1	23
1	0
847	1
149	128
1620	1
0	0
3	3
13	0
827	3
0	15
10	6103
39	809
0	0
473	0
329	706
4	0
632	1719
6	54
0	0
14	2
21	343
0	0
51	379
1	433
94	504
20	290
0	0
0	1047
0	0
36	123
470	0
62	0
2	41
4	0
7	126
102	0
0	1
2	71
0	0
18	339
7	27413
45	595
0	248
0	3
0	0
8	132
0	12
153	197
1711	1
570	1201
84	1784
158	259
763	625
202	0
22	6
2	58
70	3415
0	0
14	202
676	1221
17	4
5	69
44	84
5	18
2	92
0	214
0	0
2	125
569	2
442	0
63	422
2	0
9	0
3	6
0	0
32	44
341	2
16	32
13	2609
6	1
0	0
728	0
0	1
0	0
0	0
3	0
