UniqueCount	AmbigCount
46	65
26	0
7	2
130	0
630	1642
347	879
0	0
0	0
0	0
0	0
0	0
9	124
382	1
15	0
4	0
137	0
100	678
0	43
12	1
151	2
82	0
0	946
310	420
0	0
188	491
0	572
3	0
15	0
1593	1726
1	27
3	0
922	0
352	5191
0	0
0	0
8	391
8	0
0	2451
0	0
48	748
6	0
1	0
1	501
0	555
32	786
15	41
0	217
109	1699
2	1872
0	0
27	4213
546	1175
77	65
38	1546
0	0
42	868
0	0
5	1302
0	1
3763	1
0	0
149	497
7	389
0	0
253	0
7	130
78	0
26	1
0	0
255	633
31	0
0	0
9	0
2	184
1	2
5	0
176	1
142	1
0	1445
1397	0
2085	0
517	649
563	903
587	243
1	24
0	0
81	612
78	0
0	3
395	13
1907	0
1396	0
2	1
36	531
1045	2786
85	2106
0	170
54	36
272	199
0	0
443	0
5	0
3	0
1	0
1011	1183
0	8
1	0
42	27
29	1
0	0
4289	6811
0	3257
1327	2
0	0
794	22033
190	724
8	33
221	365
1406	0
494	46
13781	5
33	2
76	2
1772	2
982	685
4	71
2	1
5	6
17	0
0	0
104	639
447	0
3	715
7	0
92	63
108	394
255	2909
2680	2866
4	49
581	0
1188	0
0	85
5	777
0	1312
54	0
4	0
0	0
3042	0
8174	1
272	0
443	1
82	147
1168	1192
0	0
2	447
0	0
53	2377
85	2115
101	259
22	87
1	0
7	0
515	0
0	3
16	1251
208	448
720	2489
76	0
34	2550
170	102
13	1685
1349	2723
34	0
6	756
5	0
2	0
96	3902
57	0
8	33
45	0
11	0
1	3
5	711
0	304
19	25
11	2
6	22
1	869
13	0
1262	1
32	321
2	5
0	0
13	529
171	2510
24257	3
1807	0
56	2
2249	0
2	317
2	4868
0	0
0	6554
0	0
217	413
0	0
7	9
290	912
0	0
3578	0
1	83
412	11432
0	1912
0	0
1068	0
64	901
27	1290
0	412
88	7
182	1080
164	4598
0	0
109	46
3	0
0	0
2924	2
3099	1
4551	19229
20	285
47	474
7	17
621	0
75	825
192	1126
2341	0
0	4188
4	0
0	363
1	0
0	0
0	5134
462	818
512	0
2	2
47	5
1	16
10	27
5376	0
567	2021
30	4
15	418
91	0
826	0
118	0
3863	2
0	451
0	243
48	28
156	169
96	1366
21	564
224	1
1591	0
0	0
1211	1606
630	255
7	0
9	0
1	0
9	0
172	0
1493	0
271	0
1838	0
1565	0
0	0
858	0
891	0
1538	0
3	39
7	0
479	1502
147	0
1343	548
732	0
0	1152
2133	1
26	147
75	0
841	631
0	2972
3	0
16	1705
683	0
8140	1
0	298
10	0
1738	0
1	812
32	6493
11	945
38	113
26	2104
82	151
68	171
7	1
0	0
0	1767
22	137
2	0
18	0
0	1651
2897	1
605	4245
260	5127
16	0
1	3516
858	0
183	843
105	209
933	0
23	630
120	3
10	3
158	708
94	600
263	1271
0	611
0	0
34	0
89	696
54	894
120	1
359	0
1589	0
326	0
0	4681
116	1690
1431	1642
0	166
33	176
2568	5
751	1366
52	4322
666	2055
688	161
23	134
455	0
32	1
0	1183
0	0
0	0
2	155
5	68
160	3
0	0
382	608
27	203
2139	4697
4931	0
571	9156
0	59
713	4092
0	0
274	4557
24	780
2	39
67	162
764	1
4	0
1	531
141	1005
1675	0
104	37
12	13
154	0
3	0
731	1
136	0
1	0
476	1662
44	66
0	0
105	1510
4	511
0	2884
84	1659
40	1105
1105	609
1212	1801
5582	1
3	0
3939	1
367	0
369	0
512	242
0	0
37	9
5042	8727
107	24
141	55
1998	3
0	0
718	1223
810	2685
0	1729
8	24
276	0
0	40
8	0
0	5313
472	0
33	0
228	1389
4	266
0	202
0	0
0	0
27	117
19	0
199	191
75	618
322	0
131	0
2375	1
0	315
9	15
71	239
16	0
2	0
0	0
0	320
167	646
0	0
870	4757
236	0
68	874
16	557
4	13
127	360
0	0
74	1
1121	1
119	172
1	0
173	274
0	293
0	1
21	2798
4	0
862	762
0	1243
747	3187
533	313
525	1082
8	0
1	673
0	0
0	0
88	693
153	1932
522	764
30	123
345	1
1	810
197	748
329	0
0	1909
65	0
158	197
50	56
119	496
136	298
135	525
37	93
4	238
359	731
0	1759
175	0
172	0
3	0
0	0
0	0
48	889
1660	1866
0	0
1	0
2027	464
12	0
2367	1
0	0
0	0
4	1464
0	323
1	2
2	4
256	0
0	3767
205	451
0	1
3	0
4	0
1	0
0	0
3589	2
1186	0
150	0
2067	1
20	329
184	0
36	634
0	0
102	775
0	1255
77	0
4213	1
35	224
1872	0
941	522
0	1822
0	0
0	2263
0	0
33	142
12	0
14	0
27	1574
43	487
700	84
144	356
0	0
269	1367
856	0
0	0
27	24
0	333
151	834
697	1217
4	8
9	103
1255	0
58	0
398	0
0	1
149	250
55	9445
0	0
0	0
138	3
1	0
77	354
701	0
1	0
25	0
0	0
143	0
46	216
1177	1915
0	1
51	182
103	5
40	5
1	372
6	1
6	1
14	29
3	70
8	6455
2859	1
179	471
1118	0
0	1581
20	312
4	0
2	0
12510	1
0	0
1259	1491
1552	1
7	0
2689	0
202	5043
27	0
345	643
39	0
0	0
23	0
700	123
19	82
0	0
5	6028
0	1125
0	0
239	1
117	341
1	0
67	552
53	422
39	396
1477	0
45	8
821	1
1	0
3974	287
20	3
2577	0
0	0
16	431
5	8
0	0
4	0
0	87
56	0
8	27
22021	0
0	1311
999	0
290	930
1218	0
70	31
357	0
29	25
2	4891
57	1970
1	1775
0	2878
2	0
0	0
0	2
0	0
2	2465
0	0
0	104
144	0
520	518
0	0
0	0
114	928
49	1
23	0
187	0
3612	3
174	371
0	0
30	1754
3409	2
26	1703
271	0
722	1514
0	0
13062	3
197	6286
185	0
32	5
53	0
2	0
48	0
694	557
21	93
184	0
1	372
2890	2
34	17
0	173
1206	0
0	0
1604	0
1778	32720
1	2
156	63
107	588
57	77
12	0
2238	4679
2995	0
59	0
48	144
686	1
61	0
896	527
179	0
60	1
0	220
961	0
845	0
406	0
2	15
54	90
782	29
0	0
4	0
0	262
104	2617
489	28
1	2351
51	746
0	0
1525	0
78	796
4	682
1797	0
4	122
126	0
55	0
366	0
504	0
296	1621
394	1
711	545
0	140
2818	0
0	0
22	29
617	897
30	1
22	1
1	0
10	0
10	0
1	0
705	0
4	345
12	7695
685	0
0	0
56	0
3	0
924	1
690	784
249	0
0	595
0	1204
7	3
74	0
556	0
1923	0
3282	1
1822	0
87	1830
720	3089
354	294
109	0
14	0
3153	0
0	311
1134	0
14	0
1409	1104
1386	1
0	0
0	3
1	0
0	4811
0	10461
53	0
0	65
461	0
127	1810
8	40
108	1
2532	2
0	0
24	491
33	160
0	1145
66	760
0	0
35	300
60	419
1592	2659
2	144
5036	1
906	1901
0	0
15	7
16	3
489	0
20	73
10	4
30	199
3	227
0	124
329	0
1	0
3067	2
12	1
6	112
0	1223
0	751
14	208
45	708
30	17
71	1
87	0
0	0
1	0
111	0
2	0
3	3
2	2
105	265
87	0
1	352
544	1
0	0
9	213
90	862
1797	0
450	647
24	0
4	0
50	2153
0	0
22	1420
63	37
0	0
0	0
586	0
21	47
0	0
391	0
149	273
0	0
56	12
0	12
49	461
1593	0
646	1875
228	18
1073	0
1571	0
185	198
0	6822
1	0
724	3380
26	0
37	82
5	1944
2	0
0	7
25	11661
1479	1
26	704
5	253
20	1059
0	667
126	11
0	167
3	0
193	3209
251	207
2507	0
3801	37607
454	0
5	1
1135	0
0	0
0	0
6	0
365	1433
78	0
1361	0
157	0
0	0
0	0
1	0
15	134
364	183
0	0
0	205
96	2462
883	652
0	0
0	2842
198	616
88	368
0	731
0	505
0	0
6	389
23	38
84	0
194	0
726	0
0	0
397	4981
1	0
293	0
90	14
15	0
0	0
413	746
0	0
530	0
173	312
121	0
19	0
3709	0
1672	0
39	0
0	1058
2023	1
0	0
10	0
1347	0
53	113
4	0
12	10
395	0
206	2064
1685	0
464	0
479	957
1	0
1	0
0	0
0	281
0	0
0	1036
0	0
0	0
156	0
422	653
0	0
0	0
0	263
3	0
13	584
0	10
222	1825
49	2486
24	1463
0	1075
314	52
45	3668
2010	15
0	1881
519	0
737	700
1	55
17	776
0	0
500	73
0	0
100	1261
4334	2
7	360
1767	1
1	0
3	0
5	632
309	1028
133	1
1	1158
1	89
0	90
0	2728
0	0
7604	1
0	0
61	0
1003	0
94	489
32	0
2023	2
45	0
1	23
2611	268
9	16
900	0
6	2
3	0
84	290
0	46
10	0
3	680
5	2909
9	0
14	473
2	1262
475	403
269	0
0	354
0	0
0	0
0	0
13	633
525	1213
56	0
201	827
216	3294
4	3
8	1
280	0
431	1945
66	4
405	4582
48	1831
4	0
6464	1
188	791
2116	922
406	0
0	0
0	0
1	0
3	0
4	0
8	487
46	0
11	568
6	395
269	2038
178	958
507	1
50	77
277	0
0	0
1	0
295	383
