UniqueCount	AmbigCount
5	11
16	0
12	0
18	0
208	564
138	350
0	0
0	0
0	0
0	0
0	0
10	45
277	1
4	0
1	0
19	0
52	415
0	18
3	0
32	2
45	0
0	771
160	243
0	1
367	731
1	657
11	0
25	0
1162	1236
0	16
1	0
1395	2
497	7565
0	0
0	0
10	543
13	0
0	2640
0	0
53	601
0	0
0	0
0	463
17	267
0	296
3	10
0	978
54	1204
0	1004
0	0
23	3033
283	593
24	16
42	1347
0	0
29	558
0	0
1	687
0	0
2515	8
0	0
126	311
2	63
0	0
656	0
17	71
31	0
52	1
0	0
279	598
18	0
0	0
0	0
0	75
3	3
0	0
46	1
18	1
0	1066
671	1
1302	4
299	351
481	453
0	0
0	2
2	0
58	440
23	3
0	0
517	15
2599	9
758	2
1	2
7	271
635	1858
98	1823
0	90
49	26
154	94
1	0
239	0
2	0
0	0
0	0
653	778
0	2
4	0
55	17
0	0
0	0
1	4567
23	2743
887	1
0	0
257	11750
242	712
1	0
172	300
1222	2
312	38
3219	4
33	0
68	0
1020	1
602	371
0	29
0	0
0	4
2	0
1	0
7	48
106	0
0	302
5	0
8	10
79	347
161	1832
3412	3983
0	4
617	0
1243	3
0	57
4	656
0	872
23	0
2	0
0	0
147	0
10843	17
317	0
479	1
25	55
451	1119
0	0
1	50
0	0
66	2894
91	2607
3	10
6	36
3	0
9	0
384	0
5	1
0	977
49	183
877	3684
26	0
34	2029
119	61
50	1237
718	1558
19	0
1	46
22	0
2	0
68	3401
46	0
12	32
38	0
12	0
1	1
0	15
8	516
34	30
20	2
13	85
0	396
0	0
857	5
6	100
304	1105
0	0
2	63
114	1636
9253	21
1416	3
2	0
261	1
4	238
1	3316
0	0
0	4077
0	0
241	363
4	0
3	2
238	765
0	0
2082	4
0	47
269	8752
0	1299
0	0
437	1
69	623
22	939
0	249
29	4
0	841
153	4263
0	0
97	85
5	0
0	0
2062	7
1365	2
8159	58379
2	116
26	297
1	23
790	1
56	846
147	907
3151	6
0	3815
1	0
0	397
0	0
0	0
0	3028
313	458
391	1
20	2
42	7
4	16
7	7
2504	7
334	1253
3	3
31	305
22	0
1430	3
356	0
2224	5
0	337
0	40
11	5
180	175
25	515
8	120
168	0
2882	1
0	0
10	26
149	67
3	1
1	1
1	0
1	0
96	0
1707	1
76	0
1074	3
6195	10
0	1
793	1
674	2
820	0
6	51
19	0
253	992
119	0
2210	894
162	0
0	805
1314	2
13	87
4	0
355	265
0	525
0	0
6	1353
189	0
13899	30
0	235
32	0
399	0
1	588
59	6595
6	568
3	10
42	1666
33	121
28	85
12	2
0	0
0	1034
6	39
0	0
5	0
0	952
1712	2
1273	3710
414	5094
65	0
1	438
462	1
119	553
20	70
738	2
0	153
34	0
0	0
55	226
37	292
284	1265
0	584
0	0
6	0
62	660
7	127
21	0
143	0
1286	2
939	2
0	2638
85	1307
6020	6983
0	705
2	12
3754	12
474	945
29	2812
140	808
2939	603
1	4
26	0
1	0
0	1804
0	0
0	0
15	1595
2	23
232	3
0	0
198	434
27	210
890	1905
733	1
455	5919
0	32
433	2383
0	0
172	2217
0	32
2	25
2	5
366	3
4	0
1	376
233	2230
1015	0
11	4
7	6
187	0
1	0
1091	0
58	0
0	0
211	773
33	33
0	0
37	1689
0	2
0	2076
70	1229
24	872
814	497
532	1277
3708	15
2	0
1978	3
129	1
78	2
223	131
0	0
35	5
10403	13945
99	15
102	39
1201	0
0	0
1711	3040
442	1523
0	1396
138	212
241	0
43	525
145	0
76	3643
272	3
87	0
148	759
7	311
2	614
0	0
0	0
47	109
7	0
63	93
17	257
357	0
80	0
240	0
0	118
3	9
25	65
0	0
8	0
1	0
1	156
104	344
0	0
69	3607
95	0
43	486
12	527
0	33
183	530
0	1
36	0
588	0
16	25
0	1
173	344
3	156
0	0
35	2798
10	0
424	347
0	519
494	2473
365	180
189	318
3	0
1	318
0	0
1	0
25	426
64	1323
380	485
59	129
81	2
2	331
157	773
49	0
0	2344
