UniqueCount	AmbigCount
270	1
0	0
4	0
12	0
6	8
15	46
28	92
37	0
17	423
181	0
13	213
0	0
296	0
27	252
52	36
79	60
58	0
74	3
0	3
300	3
0	0
280	125
100	0
5	0
7	243
0	0
2	146
284	1
216	3
220	0
28	131
8	0
23	46
86	287
373	0
45	3
23	0
29	178
10	0
18	40
150	0
52	13
1437	14
3	0
240	0
7	1022
0	0
165	596
67	0
14	323
18	0
0	1
0	116
0	0
37	170
3	3
4	3
1	0
1	1
0	0
0	147
0	499
823	1
0	35
5	353
7	0
20	0
59	141
1	35
485	0
130	100
36	55
36	39
2	12
3	0
3	4
0	31
40	597
154	0
169	0
59	0
25	147
51	55
35	22
3	0
51	498
0	58
1	20
1	0
0	0
5	258
0	646
11	0
1011	1
1209	311
36	90
78	872
0	13
18	0
0	2
0	0
304	0
108	101
0	0
107	1004
7	0
7	329
141	542
0	0
0	0
143	0
310	109
820	0
90	0
21	0
1454	572
117	3
22	112
0	784
0	0
7	53
111	0
4	2
1282	0
3	0
776	0
0	322
1	99
0	16
0	0
4237	0
3	1
0	149
116	3
0	0
4	2
1	1
5	208
72	761
2	3
6	214
35	202
3	25
172	0
0	0
259	0
11	6
0	86
3	0
7	7
7	16
627	0
15	173
11	129
164	0
7	0
1	63
29	619
887	458
706	1
1	0
0	0
1	0
222	0
96	1526
1	0
3	112
11	16
2	0
0	9
213	414
0	291
265	0
111	992
8	437
8	52
55	81
0	2
167	0
22	0
12	27
133	0
248	0
6	0
26	161
3	28
137	0
9	0
0	0
90	0
4	0
74	180
279	1
18	2
189	0
15	16
18	993
7	16
0	526
2	26
698	7
0	217
10	387
2	77
2	14
4	23
0	0
1	0
32	716
4	0
0	0
811	0
46	78
48	879
106	90
1	4
1875	0
0	1
0	0
1	0
17	62
1	0
61	835
1	0
1	0
2	0
166	0
48	36
2	1
0	0
0	23
13	18
0	254
1	145
0	0
72	0
18	117
2	0
5	6
30	0
8	4
1	0
630	0
0	8
94	218
610	0
221	116
0	82
201	0
654	1
8	219
1160	0
196	62
90	0
92	0
147	0
26	72
44	155
30	78
3	1
1	17
2	212
223	2
4	0
0	0
2	3
12	97
2	25
1	0
620	0
0	0
6	0
11	0
0	286
2	0
52	503
1	550
58	247
0	75
27	134
13	0
48	216
27	71
165	0
68	0
1	761
11	38
34	424
417	4205
1	0
15	360
6	0
346	0
121	11
0	0
13	0
152	220
0	0
27	0
9	1
88	0
3	317
1214	2
2	267
1	0
3	0
77	16
15	3
279	0
0	24
824	278
99	0
0	144
0	0
39	659
0	0
1	1
118	0
0	571
98	0
0	0
0	0
114	331
36	0
42	0
63	192
7	103
0	718
382	0
3	0
66	44
0	0
0	819
0	218
13	2
4	0
185	582
58	0
0	31
128	0
11	24
4	72
30	130
453	1
791	879
112	542
560	0
0	1209
83	0
124	0
43	583
95	0
0	0
270	0
525	0
0	1403
45	116
3	0
152	0
10	0
0	0
91	0
59	209
206	2
135	2
12	167
218	116
2	16
162	0
0	0
0	266
49	3
30	3
101	3
84	0
18	58
643	0
1	0
42	212
0	78
585	0
39	0
71	0
149	0
35	0
0	462
2	17
0	64
31	414
15	4
0	0
21	104
1	0
5	0
950	0
1	0
100	0
3	0
18	0
263	0
1	0
23	165
355	0
10	7
3	680
7	0
105	144
56	0
4	5
12	122
173	0
29	67
319	1443
11	0
32	301
46	357
0	0
658	0
43	0
0	0
13	0
0	263
20	551
0	0
5	0
1	0
4	0
519	0
382	0
1	784
155	199
3	537
18	13
0	0
0	0
0	0
318	0
7	1
9	412
0	0
493	0
79	43
1	0
2	0
0	0
319	0
45	372
32	287
0	0
19	1
1	1
15	7
673	0
4	158
8	82
0	150
108	144
0	310
14	85
494	0
383	318
0	176
0	387
1	0
0	0
1	0
82	61
246	0
24	218
209	0
73	0
0	495
0	0
46	40
2	2
6	0
14	0
8	0
22	0
19	0
53	208
1	300
18	0
21	0
7	148
0	0
889	1
166	0
10	7
174	18
19	239
45	113
0	0
0	0
13	48
177	0
68	147
78	0
203	0
2	64
0	205
76	0
331	0
0	1772
1	0
112	407
129	144
0	1
9	2
258	201
35	0
1	0
1	205
69	128
0	55
0	0
0	43
35	183
0	5
1	0
1	0
7	1
7	0
86	2
27	20
0	218
15	255
563	0
11	0
0	0
0	0
0	0
0	0
5	144
0	345
4	2
83	117
0	19
0	4
4	0
0	0
303	195
139	17
221	0
173	0
37	1839
0	5
0	220
5	0
7	0
0	94
220	0
0	24
147	0
11	66
1	86
17	3
7	2
14	92
6	226
1253	1
128	1
45	84
120	76
26	0
1	0
1	0
307	0
2	138
4	0
1	293
5	6
1	0
1	0
0	0
0	1
55	0
6	0
6	72
93	138
235	0
2	0
0	0
48	865
44	669
11	205
267	519
14	28
22	0
1067	1
0	0
0	0
16	2
19	164
0	482
0	1
5	58
2	0
212	0
7	0
10	494
6	249
115	82
4	0
28	72
1	104
24	0
0	130
142	177
60	0
28	1108
7	124
72	179
17	0
1	2
0	0
0	0
5	0
44	410
615	703
250	51
53	1138
126	0
59	76
256	0
61	56
247	1608
1	1
402	0
36	0
0	229
0	234
62	0
84	0
0	0
55	0
9	415
1	0
1	0
51	217
87	369
2	0
0	31
0	26
0	23
79	25
109	0
