UniqueCount	AmbigCount
1318	15
4	4
9	0
0	0
2	0
41	76
39	80
18	0
14	456
148	0
31	198
6	0
279	1
24	112
4	43
87	72
10	0
276	25
0	3
841	29
6	40
537	203
18	0
8	0
29	374
1	2
0	90
214	3
262	17
479	4
17	81
0	0
7	48
135	329
248	1
56	17
1	0
1	73
4	0
0	3
9	0
28	18
2034	119
3	0
146	1
3	868
1	0
121	426
70	0
7	176
30	0
0	0
1	62
0	15
59	137
1	5
11	4
2	0
1	0
0	0
0	144
0	532
927	5
0	26
1	314
0	0
13	0
87	227
2	19
585	1
90	19
62	30
60	26
1	10
5	0
9	14
0	2
22	450
87	1
216	0
36	0
0	43
50	56
6	3
3	0
68	721
0	25
1	8
3	0
2	3
3	240
0	31
27	0
2557	18
2004	533
37	63
164	1214
0	24
82	2
4	2
0	0
58	1
410	136
4	0
172	1058
1	0
7	103
106	402
3	2
6	0
172	3
408	83
1307	15
46	0
19	0
2469	853
23	3
0	16
0	338
0	0
0	9
95	0
2	2
1804	12
0	0
1623	9
3	391
1	16
4	52
4	0
11848	77
0	0
1	127
6	17
2	1
1	2
0	0
7	90
59	677
0	2
19	194
83	152
0	18
139	4
26	3
856	4
8	4
0	71
0	0
4	22
9	13
1502	2
22	173
0	8
180	1
1	0
0	50
32	629
817	260
976	7
0	0
0	0
0	0
261	19
177	1995
2	1
1	19
0	10
1	0
84	115
390	802
0	180
60	0
387	1688
25	429
2	30
22	52
53	608
157	0
12	0
25	12
209	1
285	4
2	0
171	618
5	35
97	2
14	1
25	0
63	0
2	0
10	9
330	2
29	2
73	0
2	6
16	3397
26	39
0	767
0	6
471	2
1	198
7	247
0	5
0	2
3	13
0	0
0	0
32	744
5	0
0	0
1553	8
14	25
72	708
143	59
6	13
3479	34
62	3
0	0
1	0
22	70
2	0
28	430
2	0
1	0
0	0
161	0
51	19
0	0
0	4
0	1
17	10
0	348
1	79
0	0
46	0
36	120
6	0
5	10
63	1
4	5
0	2
397	7
0	73
118	258
1126	15
176	55
0	0
235	0
126	4
12	226
947	5
516	110
43	0
111	0
88	19
12	46
73	142
47	72
13	3
9	35
3	197
48	63
0	0
0	0
0	0
4	137
3	19
32	82
486	2
6	0
29	2
11	1
0	338
0	0
27	235
10	688
106	461
0	57
45	110
6	0
56	147
41	85
46	0
76	0
4	669
1	37
0	57
216	1113
1	1
25	211
2	0
218	1
14	0
6	0
6	0
102	149
4	69
63	8
6	1
23	0
0	290
909	73
4	366
25	7
1	0
120	11
19	6
164	3
0	8
285	78
2	1
2	209
6	6
51	661
18	20
2	78
82	1
3	352
66	1
5	0
3	0
313	369
8	0
20	0
27	217
18	65
0	465
412	2
0	0
64	66
4	0
0	605
0	202
9	1
0	0
477	1634
85	0
0	36
80	0
22	25
7	635
57	100
382	53
1351	1984
54	260
690	6
0	1193
98	0
35	0
44	364
88	0
3	1
259	0
673	4
0	688
90	219
12	0
94	1
8	0
4	0
94	1
65	143
389	17
349	20
24	173
274	86
0	9
116	0
64	0
0	338
42	12
38	6
113	7
81	1
27	89
81	0
3	0
107	187
0	57
1392	8
62	0
16	0
9	1
14	0
0	570
0	23
0	67
22	202
5	1
0	1
14	58
17	0
0	0
1016	8
6	3
80	0
3	0
13	0
536	2
6	2
39	138
447	1
4	7
3	506
4	0
77	52
12	0
0	0
15	123
100	2
25	60
343	2015
26	0
12	171
27	317
1	1
819	6
0	0
0	0
7	0
0	366
35	416
360	0
7	0
2	0
1	0
328	0
779	9
1	1273
111	120
15	701
32	14
3	0
0	0
2	2
428	4
4	1
22	435
0	0
398	4
42	14
1	0
2	0
67	0
201	1
47	337
36	283
0	0
4	0
0	0
13	18
802	4
2	194
1	61
0	51
65	77
0	503
16	161
297	0
563	225
0	18
5	387
0	0
0	0
0	0
68	31
373	3
104	623
173	2
111	1
0	30
4	19
18	42
2	1
4	0
1	0
0	0
15	0
26	0
75	190
2	193
6	0
10	0
18	154
16	0
1875	10
152	2
2	5
98	13
18	215
39	85
0	0
0	2
11	46
173	0
107	167
10	0
218	2
5	63
0	268
56	0
271	2
0	1520
3	0
168	386
201	228
0	90
5	7
977	411
6	0
1	0
2	87
194	163
0	41
4	0
0	25
55	254
7	30
7	2
2	4
6	1
4	0
45	4
15	16
2	267
13	258
1302	15
175	26
0	23
0	1
1	0
0	1
9	99
0	300
0	1
85	66
7	91
0	11
18	0
2	0
352	120
49	6
121	1
224	1
34	1893
5	60
0	71
36	2
3	0
0	23
58	0
0	8
216	2
20	52
0	87
6	4
0	1
3	16
9	165
1737	14
120	1
23	38
144	46
2	0
2	16
0	0
558	6
3	162
0	0
9	268
7	2
1	1
0	0
25	0
4	38
1	0
0	0
42	149
108	115
86	1
69	46
3	0
39	802
4	373
0	136
258	461
9	4
26	1
1066	7
0	0
0	0
3	2
18	42
1	608
0	1
8	95
0	0
182	3
0	0
8	591
8	383
117	76
71	26
15	23
0	112
6	0
0	54
267	340
147	3
12	770
1	58
46	189
5	1
0	0
0	0
0	0
7	0
37	299
653	680
138	13
60	1016
97	1
150	47
60	0
44	16
346	2017
0	0
406	9
